cost_ratio_fn_to_fp,method,wins,n_blocks
1.0,HistGB,19,50
1.0,PBMSBAINGO-HGBKELM(Triad-mode),19,50
1.0,PBMSBAINGO-HGBKELM(F2-mode),15,50
1.0,PBMSBAINGO-HGBKELM(MCC-guarded),12,50
1.0,TIS_NGO-KELM,2,50
1.0,BalancedRF,0,50
1.0,EasyEnsemble,0,50
1.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0,50
2.0,PBMSBAINGO-HGBKELM(Triad-mode),30,50
2.0,HistGB,14,50
2.0,PBMSBAINGO-HGBKELM(F2-mode),9,50
2.0,PBMSBAINGO-HGBKELM(MCC-guarded),9,50
2.0,BalancedRF,0,50
2.0,EasyEnsemble,0,50
2.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0,50
2.0,TIS_NGO-KELM,0,50
5.0,PBMSBAINGO-HGBKELM(Triad-mode),41,50
5.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),5,50
5.0,PBMSBAINGO-HGBKELM(F2-mode),4,50
5.0,PBMSBAINGO-HGBKELM(MCC-guarded),4,50
5.0,HistGB,1,50
5.0,BalancedRF,0,50
5.0,EasyEnsemble,0,50
5.0,TIS_NGO-KELM,0,50
10.0,PBMSBAINGO-HGBKELM(Triad-mode),44,50
10.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),5,50
10.0,PBMSBAINGO-HGBKELM(F2-mode),2,50
10.0,PBMSBAINGO-HGBKELM(MCC-guarded),1,50
10.0,BalancedRF,0,50
10.0,EasyEnsemble,0,50
10.0,HistGB,0,50
10.0,TIS_NGO-KELM,0,50
20.0,PBMSBAINGO-HGBKELM(Triad-mode),40,50
20.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),8,50
20.0,PBMSBAINGO-HGBKELM(F2-mode),3,50
20.0,PBMSBAINGO-HGBKELM(MCC-guarded),2,50
20.0,BalancedRF,0,50
20.0,EasyEnsemble,0,50
20.0,HistGB,0,50
20.0,TIS_NGO-KELM,0,50
50.0,PBMSBAINGO-HGBKELM(Triad-mode),28,50
50.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),14,50
50.0,PBMSBAINGO-HGBKELM(F2-mode),3,50
50.0,BalancedRF,2,50
50.0,EasyEnsemble,2,50
50.0,PBMSBAINGO-HGBKELM(MCC-guarded),2,50
50.0,HistGB,1,50
50.0,TIS_NGO-KELM,0,50
