cost_ratio_fn_to_fp,dataset,method,mean_normalized_cost,sd_across_repeats,n_repeats
1.0,1year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.03067804646752012,0.00649768070567977,10
1.0,1year.arff,HistGB,0.03252726410621146,0.009167606792059883,10
1.0,1year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.03262209577999049,0.006885008826963541,10
1.0,1year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.033333333333333305,0.012697552307731797,10
1.0,1year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.06306306306306302,0.025140828833216416,10
1.0,1year.arff,EasyEnsemble,0.07833096254148879,0.020398976615714985,10
1.0,1year.arff,BalancedRF,0.1355618776671408,0.04799938577933124,10
1.0,1year.arff,TIS_NGO-KELM,0.18018018018018017,0.044739270345559225,10
1.0,2year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.06572739187418089,0.02973948157505572,10
1.0,2year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.07919397116644823,0.030961732824146396,10
1.0,2year.arff,HistGB,0.0886959370904325,0.05945273531141097,10
1.0,2year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.08925294888597639,0.04964536557564911,10
1.0,2year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.0981979030144168,0.04553409591236028,10
1.0,2year.arff,EasyEnsemble,0.15828964613368282,0.0720534988337182,10
1.0,2year.arff,TIS_NGO-KELM,0.16530144167758848,0.07800631330607691,10
1.0,2year.arff,BalancedRF,0.19456094364351245,0.04887082604208768,10
1.0,3year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.07829260552205647,0.023904032610892512,10
1.0,3year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.08013329101872424,0.020258740567388415,10
1.0,3year.arff,HistGB,0.08711520152332594,0.03674989392258246,10
1.0,3year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.09638210092034273,0.04350670582287766,10
1.0,3year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.11478895588701998,0.02629175001564741,10
1.0,3year.arff,EasyEnsemble,0.14452554744525548,0.05032219412384209,10
1.0,3year.arff,TIS_NGO-KELM,0.1999047921294827,0.042800408747535254,10
1.0,3year.arff,BalancedRF,0.20568073627419867,0.04132597597480015,10
1.0,4year.arff,PBMSBAINGO-HGBKELM(MCC-guarded),0.07093260721579309,0.016770143273330162,10
1.0,4year.arff,HistGB,0.07770592239618787,0.030662085289091708,10
1.0,4year.arff,PBMSBAINGO-HGBKELM(F2-mode),0.08240299523485364,0.03982363915493424,10
1.0,4year.arff,PBMSBAINGO-HGBKELM(Triad-mode),0.08515997277059226,0.017649444770482713,10
1.0,4year.arff,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.10258679373723625,0.025872515011030786,10
1.0,4year.arff,EasyEnsemble,0.16021102791014297,0.05202766106515081,10
