cost_ratio_fn_to_fp,method,mean_normalized_cost,sd_normalized_cost,median_normalized_cost,n_blocks,rank
1.0,PBMSBAINGO-HGBKELM(MCC-guarded),0.06293055718547469,0.02642626372091391,0.05963697219528352,50,1.0
1.0,PBMSBAINGO-HGBKELM(Triad-mode),0.0653355468123385,0.026890679210876338,0.062078241746956635,50,2.0
1.0,HistGB,0.06806052886981925,0.03973758127595323,0.059689284756018895,50,3.0
1.0,PBMSBAINGO-HGBKELM(F2-mode),0.07184099601533248,0.041100856581669946,0.06029737723057879,50,4.0
1.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.08946676784423892,0.03500308312062117,0.08279309473971659,50,5.0
1.0,EasyEnsemble,0.12353370414959963,0.05925990024254595,0.10478244580946647,50,6.0
1.0,BalancedRF,0.15713045661945885,0.057295855690443556,0.15105607560195355,50,7.0
1.0,TIS_NGO-KELM,0.16068488906297848,0.06306913747180182,0.1701619105617836,50,8.0
2.0,PBMSBAINGO-HGBKELM(Triad-mode),0.07893858862377169,0.02523484296216689,0.07713847334100493,50,1.0
2.0,PBMSBAINGO-HGBKELM(MCC-guarded),0.0827883217877215,0.025142654102747165,0.08321209182023928,50,2.0
2.0,HistGB,0.08738720834950342,0.03640139956271954,0.08243423566410957,50,3.0
2.0,PBMSBAINGO-HGBKELM(F2-mode),0.09022084988640942,0.03773182238775761,0.08321209182023928,50,4.0
2.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.10352959145185103,0.03312165368904714,0.10324486376862714,50,5.0
2.0,EasyEnsemble,0.14037911736713954,0.05242673742108669,0.12552454929037205,50,6.0
2.0,BalancedRF,0.17288286913378667,0.05060054697522803,0.16727695129016462,50,7.0
2.0,TIS_NGO-KELM,0.18083318562822623,0.05430322370825727,0.18574973944387818,50,8.0
5.0,PBMSBAINGO-HGBKELM(Triad-mode),0.1129800647846611,0.024036636409843798,0.11846412710466861,50,1.0
5.0,PBMSBAINGO-HGBKELM(MCC-guarded),0.13239331784741143,0.02599771569658039,0.1382231580578951,50,2.0
5.0,HistGB,0.13563900117513175,0.03108569767744802,0.13797430657151688,50,3.0
5.0,PBMSBAINGO-HGBKELM(F2-mode),0.13615388957808788,0.032328985110322256,0.1357615894039736,50,4.0
5.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.13868979066122297,0.03179807703259615,0.14230460576151444,50,5.0
5.0,EasyEnsemble,0.18220659560745125,0.0383737672024489,0.17863420979609296,50,6.0
5.0,BalancedRF,0.21188379347606726,0.03758893010674089,0.20966835300730746,50,7.0
5.0,TIS_NGO-KELM,0.230784711548534,0.03703256079386511,0.2269115845987819,50,8.0
10.0,PBMSBAINGO-HGBKELM(Triad-mode),0.15429882551422225,0.027830121421683746,0.1550116973217167,50,1.0
10.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.18129802735155923,0.03640407790162058,0.18612970228479114,50,2.0
10.0,PBMSBAINGO-HGBKELM(F2-mode),0.19178199961083078,0.03305749362957288,0.1954861111111111,50,3.0
10.0,PBMSBAINGO-HGBKELM(MCC-guarded),0.1924259890359092,0.032509561993234466,0.1937856297730451,50,4.0
10.0,HistGB,0.1939883579570715,0.03173071518133735,0.2018030001896851,50,5.0
10.0,EasyEnsemble,0.2323987415400798,0.030508116892043264,0.23653161175422974,50,6.0
10.0,BalancedRF,0.2584673825115513,0.03223207995885658,0.2587122086314332,50,7.0
10.0,TIS_NGO-KELM,0.2905667759176955,0.032344692229996995,0.28709042567494897,50,8.0
20.0,PBMSBAINGO-HGBKELM(Triad-mode),0.20585083585138622,0.03774605643124004,0.2044568064504652,50,1.0
20.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.23434034424667305,0.04843470850542095,0.24023713476195008,50,2.0
20.0,PBMSBAINGO-HGBKELM(F2-mode),0.2609894307718248,0.04391872976631806,0.25969334261749266,50,3.0
20.0,HistGB,0.26645629080241373,0.042105477593310923,0.26780811301120167,50,4.0
20.0,PBMSBAINGO-HGBKELM(MCC-guarded),0.26704569084140245,0.044542730491484085,0.2675356339084771,50,5.0
20.0,EasyEnsemble,0.294243456946548,0.03896562751391404,0.2928341049078059,50,6.0
20.0,BalancedRF,0.315534780164777,0.04189137316211447,0.3126906642074788,50,7.0
20.0,TIS_NGO-KELM,0.36396335492417925,0.051129877260660865,0.35750265332778886,50,8.0
50.0,PBMSBAINGO-HGBKELM(Triad-mode),0.2726119880914617,0.055344672887990526,0.27437278260531195,50,1.0
50.0,PBMSBAINGO-HGBKELM(Sensitivity-mode),0.3028149551930197,0.06929707206912747,0.29861602621475536,50,2.0
50.0,PBMSBAINGO-HGBKELM(F2-mode),0.3502836170057323,0.06702377737331858,0.35065509203440237,50,3.0
50.0,HistGB,0.359767325655725,0.06443497933685284,0.3621726770808229,50,4.0
50.0,PBMSBAINGO-HGBKELM(MCC-guarded),0.3632081060297416,0.06381767166405677,0.37343155215002866,50,5.0
50.0,EasyEnsemble,0.3732547255869021,0.0645489691776187,0.3753491946854679,50,6.0
50.0,BalancedRF,0.38791064118083257,0.06485523049804529,0.3884366756329869,50,7.0
50.0,TIS_NGO-KELM,0.45726461800044615,0.08644073183198613,0.4455795950009237,50,8.0
