metric,method,average_rank,n_blocks
ap,PBMSBAINGO-HGBKELM(Triad-mode),1.0,5
ap,HistGB,2.0,5
ap,PBMSBAINGO-HGBKELM(F2-mode),3.6,5
ap,PBMSBAINGO-HGBKELM(MCC-guarded),3.8,5
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),4.6,5
ap,EasyEnsemble,6.4,5
ap,RF_balanced,6.6,5
ap,BalancedRF,8.0,5
ap,ExtraTrees_balanced,9.8,5
ap,LR_balanced,10.4,5
ap,MSBAINGO-KELM,12.0,5
ap,PBMSBAINGO-KELM,12.4,5
ap,BAINGO-KELM,12.6,5
ap,TIS_NGO-KELM,13.2,5
ap,NGO-KELM,14.4,5
ap,INGO-KELM,15.2,5
f2,PBMSBAINGO-HGBKELM(Triad-mode),1.0,5
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),2.6,5
f2,PBMSBAINGO-HGBKELM(F2-mode),3.2,5
f2,PBMSBAINGO-HGBKELM(MCC-guarded),4.0,5
f2,HistGB,4.2,5
f2,EasyEnsemble,6.2,5
f2,RF_balanced,6.8,5
f2,BalancedRF,8.0,5
f2,ExtraTrees_balanced,10.6,5
f2,LR_balanced,11.2,5
f2,MSBAINGO-KELM,11.6,5
f2,BAINGO-KELM,11.8,5
f2,NGO-KELM,13.4,5
f2,PBMSBAINGO-KELM,13.4,5
f2,TIS_NGO-KELM,13.8,5
f2,INGO-KELM,14.2,5
gmean,PBMSBAINGO-HGBKELM(Triad-mode),1.0,5
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),2.0,5
gmean,PBMSBAINGO-HGBKELM(F2-mode),3.2,5
gmean,HistGB,5.0,5
gmean,PBMSBAINGO-HGBKELM(MCC-guarded),5.4,5
gmean,EasyEnsemble,5.6,5
gmean,RF_balanced,7.0,5
gmean,BalancedRF,7.4,5
gmean,ExtraTrees_balanced,10.4,5
gmean,LR_balanced,11.0,5
gmean,NGO-KELM,11.6,5
gmean,BAINGO-KELM,12.0,5
gmean,MSBAINGO-KELM,12.4,5
gmean,INGO-KELM,13.0,5
gmean,PBMSBAINGO-KELM,14.2,5
gmean,TIS_NGO-KELM,14.8,5
mcc,PBMSBAINGO-HGBKELM(Triad-mode),1.0,5
mcc,PBMSBAINGO-HGBKELM(MCC-guarded),2.4,5
mcc,HistGB,2.6,5
mcc,PBMSBAINGO-HGBKELM(F2-mode),4.0,5
mcc,PBMSBAINGO-HGBKELM(Sensitivity-mode),5.0,5
mcc,EasyEnsemble,6.0,5
mcc,RF_balanced,7.0,5
mcc,BalancedRF,8.0,5
mcc,ExtraTrees_balanced,10.8,5
mcc,BAINGO-KELM,11.2,5
mcc,LR_balanced,11.2,5
mcc,MSBAINGO-KELM,11.6,5
mcc,PBMSBAINGO-KELM,12.2,5
