method,n_rows,gmean_mean,gmean_std,gmean_mean_std,sensitivity_mean,sensitivity_std,sensitivity_mean_std,specificity_mean,specificity_std,specificity_mean_std,precision_mean,precision_std,precision_mean_std,mcc_mean,mcc_std,mcc_mean_std,triad_score_mean,triad_score_std,triad_score_mean_std,f2_mean,f2_std,f2_mean_std,ap_mean,ap_std,ap_mean_std
PBMSBAINGO-HGBKELM(Triad-mode),5,0.7751407484598738,0.035103963935011084,0.7751 +/- 0.0351,0.6362001733867138,0.05546290087125065,0.6362 +/- 0.0555,0.9497079758913352,0.019816509448160498,0.9497 +/- 0.0198,0.44961963439574004,0.1362627669521628,0.4496 +/- 0.1363,0.49334212080002854,0.09876127166166992,0.4933 +/- 0.0988,0.6638875440153333,0.06204564570412342,0.6639 +/- 0.0620,0.5691205157098087,0.071981208200461,0.5691 +/- 0.0720,0.5941811701204577,0.10058207216684102,0.5942 +/- 0.1006
PBMSBAINGO-HGBKELM(Sensitivity-mode),5,0.7445913551789153,0.05266951236936159,0.7446 +/- 0.0527,0.6040832987009719,0.07114506958880693,0.6041 +/- 0.0711,0.9260929110125018,0.021390737171519972,0.9261 +/- 0.0214,0.3387886832491332,0.11987276211611245,0.3388 +/- 0.1199,0.40163828779142935,0.11052662979637645,0.4016 +/- 0.1105,0.6022616464144275,0.08314393366130592,0.6023 +/- 0.0831,0.5011196878723032,0.09925351261180912,0.5011 +/- 0.0993,0.47784118348563104,0.12244117795658986,0.4778 +/- 0.1224
PBMSBAINGO-HGBKELM(F2-mode),5,0.7031533758935191,0.040485632722957764,0.7032 +/- 0.0405,0.5283430857085266,0.051785963625442924,0.5283 +/- 0.0518,0.9485011716246758,0.026422427807055598,0.9485 +/- 0.0264,0.4425003714298919,0.1665666747507137,0.4425 +/- 0.1666,0.43248236509275256,0.11776678592700969,0.4325 +/- 0.1178,0.5930819525471664,0.07574848191180165,0.5931 +/- 0.0757,0.4798968686124045,0.08508474474769154,0.4799 +/- 0.0851,0.4796661553278387,0.12272399962546113,0.4797 +/- 0.1227
PBMSBAINGO-HGBKELM(MCC-guarded),5,0.6932322354897815,0.03807363014417518,0.6932 +/- 0.0381,0.5062976857303393,0.0507090798698847,0.5063 +/- 0.0507,0.9590528960988156,0.02029192106494933,0.9591 +/- 0.0203,0.46702120444196493,0.17065908696296994,0.4670 +/- 0.1707,0.4413290158526978,0.11486172363045201,0.4413 +/- 0.1149,0.5922616697307408,0.07196573005947246,0.5923 +/- 0.0720,0.47740463341773876,0.0777539766622691,0.4774 +/- 0.0778,0.4796584219680389,0.1229303711994406,0.4797 +/- 0.1229
HistGB,5,0.6950681858569758,0.03775005485870795,0.6951 +/- 0.0378,0.5137118063398767,0.046138634194769816,0.5137 +/- 0.0461,0.9533425951384409,0.02489166200974935,0.9533 +/- 0.0249,0.462646760818093,0.16872381934450795,0.4626 +/- 0.1687,0.4379373386395523,0.11595707996273566,0.4379 +/- 0.1160,0.5910638539877683,0.07307583133073323,0.5911 +/- 0.0731,0.4749188683596266,0.08028432102738625,0.4749 +/- 0.0803,0.4864065160074952,0.12130023089612087,0.4864 +/- 0.1213
EasyEnsemble,5,0.6764055042947458,0.019949017790266834,0.6764 +/- 0.0199,0.520372456819394,0.03816173242112934,0.5204 +/- 0.0382,0.8951879906693634,0.0483563952857853,0.8952 +/- 0.0484,0.2525344359355148,0.1312058829407182,0.2525 +/- 0.1312,0.2956341560251203,0.09061139804538428,0.2956 +/- 0.0906,0.5086931386747731,0.056606255678469386,0.5087 +/- 0.0566,0.3955976250663193,0.061629783837413125,0.3956 +/- 0.0616,0.28973387690411634,0.1167059899650416,0.2897 +/- 0.1167
RF_balanced,5,0.6702625170624872,0.022086963271569844,0.6703 +/- 0.0221,0.5157616780485719,0.025335900225274474,0.5158 +/- 0.0253,0.8865144664449476,0.03833591323415958,0.8865 +/- 0.0383,0.22312603597232533,0.10687121315476626,0.2231 +/- 0.1069,0.2723503346699956,0.08311288125193894,0.2724 +/- 0.0831,0.49232601808440657,0.05780763949087883,0.4923 +/- 0.0578,0.3810562011150441,0.06629058290103837,0.3811 +/- 0.0663,0.26715293175737187,0.0891949632071316,0.2672 +/- 0.0892
BalancedRF,5,0.6608302348571653,0.021572517856684736,0.6608 +/- 0.0216,0.5155650120970431,0.03051592296886936,0.5156 +/- 0.0305,0.8604064001964588,0.05415382442101118,0.8604 +/- 0.0542,0.1917346330528198,0.11800846399040253,0.1917 +/- 0.1180,0.23953651093023778,0.09170228521747625,0.2395 +/- 0.0917,0.46562018790687115,0.06376965561040257,0.4656 +/- 0.0638,0.3548271847504301,0.06979661291447986,0.3548 +/- 0.0698,0.22068313617662075,0.09464085358520978,0.2207 +/- 0.0946
ExtraTrees_balanced,5,0.6336604682420421,0.01846528966498361,0.6337 +/- 0.0185,0.48669378356120285,0.021176388613829453,0.4867 +/- 0.0212,0.8362324327802829,0.06493463188214955,0.8362 +/- 0.0649,0.16588743318322496,0.12020818810697886,0.1659 +/- 0.1202,0.20027149757546212,0.0974577995211175,0.2003 +/- 0.0975,0.4243718166288918,0.07112939625956582,0.4244 +/- 0.0711,0.31688953337201314,0.07569376570754344,0.3169 +/- 0.0757,0.17769698442708978,0.11085548441559674,0.1777 +/- 0.1109
LR_balanced,5,0.638716958281451,0.02671216975158207,0.6387 +/- 0.0267,0.5058768916847717,0.04488525480815441,0.5059 +/- 0.0449,0.8230487766277423,0.07134364646029245,0.8230 +/- 0.0713,0.16384461104103668,0.11956140737217895,0.1638 +/- 0.1196,0.19961355105168935,0.09518597986364168,0.1996 +/- 0.0952,0.42605841349969464,0.06816202057553025,0.4261 +/- 0.0682,0.31615176166492115,0.0721570245383816,0.3162 +/- 0.0722,0.17939522937751834,0.10185923026401039,0.1794 +/- 0.1019
BAINGO-KELM,5,0.617098849935031,0.024524855406382964,0.6171 +/- 0.0245,0.4585916789175589,0.0255213127234606,0.4586 +/- 0.0255,0.8475269703346505,0.06361823538549934,0.8475 +/- 0.0636,0.17284135576040177,0.13212805852178763,0.1728 +/- 0.1321,0.19832995835115125,0.10197144461284416,0.1983 +/- 0.1020,0.41419709192678855,0.07457235891577221,0.4142 +/- 0.0746,0.30852593308931525,0.07306704500972787,0.3085 +/- 0.0731,0.16620910530330604,0.10999559752817138,0.1662 +/- 0.1100
MSBAINGO-KELM,5,0.604963179592622,0.06151004044231614,0.6050 +/- 0.0615,0.45132885048787463,0.0589699954119084,0.4513 +/- 0.0590,0.850732684233906,0.0533500448873937,0.8507 +/- 0.0534,0.16721523293065127,0.12476605919967451,0.1672 +/- 0.1248,0.19430839459312005,0.11113182879472522,0.1943 +/- 0.1111,0.4057450315030616,0.09796737448087144,0.4057 +/- 0.0980,0.3035642493497613,0.09701512138033785,0.3036 +/- 0.0970,0.16629769533065164,0.11553517246630522,0.1663 +/- 0.1155
NGO-KELM,5,0.6088514930375822,0.06791161973811412,0.6089 +/- 0.0679,0.4665194631263624,0.06853321200582985,0.4665 +/- 0.0685,0.8282106704270898,0.057970217885563835,0.8282 +/- 0.0580,0.14974878636723338,0.11492753874036996,0.1497 +/- 0.1149,0.1791855949757085,0.10925457452216887,0.1792 +/- 0.1093,0.3963269738632991,0.1026961286035553,0.3963 +/- 0.1027,0.29750210341201366,0.10052606493741874,0.2975 +/- 0.1005,0.1565556899276271,0.12127027199244426,0.1566 +/- 0.1213
