method,n_rows,gmean_mean,gmean_std,gmean_mean_std,sensitivity_mean,sensitivity_std,sensitivity_mean_std,specificity_mean,specificity_std,specificity_mean_std,precision_mean,precision_std,precision_mean_std,mcc_mean,mcc_std,mcc_mean_std,triad_score_mean,triad_score_std,triad_score_mean_std,f2_mean,f2_std,f2_mean_std,ap_mean,ap_std,ap_mean_std
PBMSBAINGO-HGBKELM(Triad-mode),50,0.7751407484598738,0.04794365397560295,0.7751 +/- 0.0479,0.6362001733867138,0.08591784837178704,0.6362 +/- 0.0859,0.9497079758913349,0.0294276927066783,0.9497 +/- 0.0294,0.44961963439574015,0.1688061260829264,0.4496 +/- 0.1688,0.4933421208000286,0.10416562561440591,0.4933 +/- 0.1042,0.6638875440153335,0.0627511876605047,0.6639 +/- 0.0628,0.5691205157098087,0.07501603271385836,0.5691 +/- 0.0750,0.5941811701204578,0.09673346299203377,0.5942 +/- 0.0967
PBMSBAINGO-HGBKELM(Sensitivity-mode),50,0.7445913551789153,0.06541053939220916,0.7446 +/- 0.0654,0.6040832987009719,0.1036575819687946,0.6041 +/- 0.1037,0.9260929110125019,0.037877738043972396,0.9261 +/- 0.0379,0.33878868324913325,0.14968780208242494,0.3388 +/- 0.1497,0.4016382877914293,0.11445277068217162,0.4016 +/- 0.1145,0.6022616464144273,0.08354503919619738,0.6023 +/- 0.0835,0.5011196878723032,0.10056361177472666,0.5011 +/- 0.1006,0.4778411834856311,0.1273060696685957,0.4778 +/- 0.1273
PBMSBAINGO-HGBKELM(F2-mode),50,0.7031533758935191,0.06701345183011492,0.7032 +/- 0.0670,0.5283430857085265,0.10793228523516449,0.5283 +/- 0.1079,0.9485011716246758,0.045460024251556985,0.9485 +/- 0.0455,0.44250037142989185,0.19937618571142215,0.4425 +/- 0.1994,0.43248236509275256,0.12210668426697742,0.4325 +/- 0.1221,0.5930819525471666,0.07952395607092118,0.5931 +/- 0.0795,0.4798968686124045,0.09360551496177813,0.4799 +/- 0.0936,0.47966615532783863,0.12741148416477366,0.4797 +/- 0.1274
PBMSBAINGO-HGBKELM(MCC-guarded),50,0.6932322354897815,0.06460569419654327,0.6932 +/- 0.0646,0.5062976857303393,0.09727294396119764,0.5063 +/- 0.0973,0.9590528960988156,0.028960371775262835,0.9591 +/- 0.0290,0.46702120444196504,0.19924107157826493,0.4670 +/- 0.1992,0.4413290158526978,0.11934519117889948,0.4413 +/- 0.1193,0.5922616697307407,0.07828201498210323,0.5923 +/- 0.0783,0.47740463341773876,0.09024261106752034,0.4774 +/- 0.0902,0.4796584219680388,0.1275843820622927,0.4797 +/- 0.1276
HistGB,50,0.6950681858569758,0.06671028898342932,0.6951 +/- 0.0667,0.5137118063398767,0.10475130561173994,0.5137 +/- 0.1048,0.9533425951384409,0.044081090474581995,0.9533 +/- 0.0441,0.462646760818093,0.20563305640110818,0.4626 +/- 0.2056,0.43793733863955225,0.12251434145507892,0.4379 +/- 0.1225,0.5910638539877683,0.07824578933272348,0.5911 +/- 0.0782,0.47491886835962666,0.09051852121735282,0.4749 +/- 0.0905,0.4864065160074951,0.12628416352456878,0.4864 +/- 0.1263
EasyEnsemble,50,0.6764055042947459,0.0545902098647291,0.6764 +/- 0.0546,0.5203724568193939,0.10776423760499897,0.5204 +/- 0.1078,0.8951879906693633,0.06746453327091476,0.8952 +/- 0.0675,0.25253443593551483,0.1320491659941506,0.2525 +/- 0.1320,0.29563415602512033,0.08752247556619352,0.2956 +/- 0.0875,0.5086931386747731,0.06066708644234873,0.5087 +/- 0.0607,0.39559762506631935,0.06663305960710722,0.3956 +/- 0.0666,0.2897338769041163,0.11428066376319565,0.2897 +/- 0.1143
RF_balanced,50,0.6702625170624873,0.06285755010747421,0.6703 +/- 0.0629,0.5157616780485719,0.10809768372765835,0.5158 +/- 0.1081,0.8865144664449477,0.057702946738373596,0.8865 +/- 0.0577,0.2231260359723253,0.10915709927646514,0.2231 +/- 0.1092,0.27235033466999564,0.08322821619947769,0.2724 +/- 0.0832,0.4923260180844067,0.0671770458494961,0.4923 +/- 0.0672,0.38105620111504407,0.07525533949054831,0.3811 +/- 0.0753,0.2671529317573718,0.0953903803894551,0.2672 +/- 0.0954
BalancedRF,50,0.6608302348571654,0.057177168928273285,0.6608 +/- 0.0572,0.5155650120970432,0.1006972863842682,0.5156 +/- 0.1007,0.8604064001964589,0.06548071476679085,0.8604 +/- 0.0655,0.19173463305281976,0.11153008175361866,0.1917 +/- 0.1115,0.23953651093023773,0.09021853263629519,0.2395 +/- 0.0902,0.46562018790687104,0.07319791582768095,0.4656 +/- 0.0732,0.3548271847504301,0.07766669783464503,0.3548 +/- 0.0777,0.22068313617662072,0.09298545560456563,0.2207 +/- 0.0930
ExtraTrees_balanced,50,0.6336604682420423,0.04621497618111094,0.6337 +/- 0.0462,0.48669378356120285,0.08374709507906211,0.4867 +/- 0.0837,0.836232432780283,0.07202156354216428,0.8362 +/- 0.0720,0.165887433183225,0.11195212189253458,0.1659 +/- 0.1120,0.2002714975754621,0.09103694492270831,0.2003 +/- 0.0910,0.4243718166288919,0.07225789962194148,0.4244 +/- 0.0723,0.31688953337201314,0.0765284572139348,0.3169 +/- 0.0765,0.1776969844270898,0.10308800655809795,0.1777 +/- 0.1031
LR_balanced,50,0.638716958281451,0.05346082485059658,0.6387 +/- 0.0535,0.5058768916847716,0.10179048590099538,0.5059 +/- 0.1018,0.8230487766277425,0.08354960704016665,0.8230 +/- 0.0835,0.16384461104103668,0.11353964048885894,0.1638 +/- 0.1135,0.19961355105168938,0.09042344898263056,0.1996 +/- 0.0904,0.4260584134996946,0.07148093472123579,0.4261 +/- 0.0715,0.3161517616649212,0.07411724958192935,0.3162 +/- 0.0741,0.17939522937751837,0.09607054549635524,0.1794 +/- 0.0961
