metric,method_a,method_b,rank_a,rank_b,rank_diff,critical_difference,significant
ap,PBMSBAINGO-HGBKELM(Triad-mode),INGO-KELM,1.0,15.2,14.2,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(Triad-mode),NGO-KELM,1.0,14.4,13.4,10.316121029759566,True
ap,HistGB,INGO-KELM,2.0,15.2,13.2,10.316121029759566,True
ap,HistGB,NGO-KELM,2.0,14.4,12.4,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(Triad-mode),TIS_NGO-KELM,1.0,13.2,12.2,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(Triad-mode),BAINGO-KELM,1.0,12.6,11.6,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(F2-mode),INGO-KELM,3.6,15.2,11.6,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-KELM,1.0,12.4,11.4,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(MCC-guarded),INGO-KELM,3.8,15.2,11.399999999999999,10.316121029759566,True
ap,HistGB,TIS_NGO-KELM,2.0,13.2,11.2,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(Triad-mode),MSBAINGO-KELM,1.0,12.0,11.0,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(F2-mode),NGO-KELM,3.6,14.4,10.8,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(MCC-guarded),NGO-KELM,3.8,14.4,10.600000000000001,10.316121029759566,True
ap,HistGB,BAINGO-KELM,2.0,12.6,10.6,10.316121029759566,True
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),INGO-KELM,4.6,15.2,10.6,10.316121029759566,True
ap,HistGB,PBMSBAINGO-KELM,2.0,12.4,10.4,10.316121029759566,True
ap,HistGB,MSBAINGO-KELM,2.0,12.0,10.0,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),NGO-KELM,4.6,14.4,9.8,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),TIS_NGO-KELM,3.6,13.2,9.6,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),LR_balanced,1.0,10.4,9.4,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),TIS_NGO-KELM,3.8,13.2,9.399999999999999,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),BAINGO-KELM,3.6,12.6,9.0,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),ExtraTrees_balanced,1.0,9.8,8.8,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-KELM,3.6,12.4,8.8,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),BAINGO-KELM,3.8,12.6,8.8,10.316121029759566,False
ap,EasyEnsemble,INGO-KELM,6.4,15.2,8.799999999999999,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),PBMSBAINGO-KELM,3.8,12.4,8.600000000000001,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),TIS_NGO-KELM,4.6,13.2,8.6,10.316121029759566,False
ap,RF_balanced,INGO-KELM,6.6,15.2,8.6,10.316121029759566,False
ap,HistGB,LR_balanced,2.0,10.4,8.4,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),MSBAINGO-KELM,3.6,12.0,8.4,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),MSBAINGO-KELM,3.8,12.0,8.2,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),BAINGO-KELM,4.6,12.6,8.0,10.316121029759566,False
ap,EasyEnsemble,NGO-KELM,6.4,14.4,8.0,10.316121029759566,False
ap,HistGB,ExtraTrees_balanced,2.0,9.8,7.800000000000001,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-KELM,4.6,12.4,7.800000000000001,10.316121029759566,False
ap,RF_balanced,NGO-KELM,6.6,14.4,7.800000000000001,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Sensitivity-mode),MSBAINGO-KELM,4.6,12.0,7.4,10.316121029759566,False
ap,BalancedRF,INGO-KELM,8.0,15.2,7.199999999999999,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),BalancedRF,1.0,8.0,7.0,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(F2-mode),LR_balanced,3.6,10.4,6.800000000000001,10.316121029759566,False
ap,EasyEnsemble,TIS_NGO-KELM,6.4,13.2,6.799999999999999,10.316121029759566,False
ap,PBMSBAINGO-HGBKELM(MCC-guarded),LR_balanced,3.8,10.4,6.6000000000000005,10.316121029759566,False
ap,RF_balanced,TIS_NGO-KELM,6.6,13.2,6.6,10.316121029759566,False
ap,BalancedRF,NGO-KELM,8.0,14.4,6.4,10.316121029759566,False
