metric,control,method,n_pairs,control_mean,method_mean,mean_diff_control_minus_method,median_diff_control_minus_method,wins,losses,ties,matched_pairs_rank_biserial,statistic,p_value_two_sided,p_value_control_greater,note,holm_p_two_sided,holm_reject_two_sided,holm_p_control_greater,holm_reject_control_greater
ap,PBMSBAINGO-HGBKELM(Triad-mode),BAINGO-KELM,5,0.5941811701204577,0.16620910530330604,0.42797206481715167,0.40516260982563584,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),BalancedRF,5,0.5941811701204577,0.22068313617662075,0.37349803394383707,0.35084124832782526,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),EasyEnsemble,5,0.5941811701204577,0.28973387690411634,0.30444729321634145,0.3112123288625565,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),ExtraTrees_balanced,5,0.5941811701204577,0.17769698442708978,0.416484185693368,0.4065504527983823,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),HistGB,5,0.5941811701204577,0.4864065160074952,0.10777465411296258,0.10655311749337548,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),INGO-KELM,5,0.5941811701204577,0.15201907668445544,0.4421620934360023,0.42579087465020604,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),LR_balanced,5,0.5941811701204577,0.17939522937751834,0.4147859407429394,0.39082258391016705,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),MSBAINGO-KELM,5,0.5941811701204577,0.16629769533065164,0.42788347478980615,0.4200034629466907,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),NGO-KELM,5,0.5941811701204577,0.1565556899276271,0.43762548019283054,0.431784867417818,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
ap,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(F2-mode),5,0.5941811701204577,0.4796661553278387,0.1145150147926191,0.11825300719095144,5,0,0,1.0,0.0,0.0625,0.03125,,0.9375,False,0.46875,False
