dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,p_at_10,recall_at_10,p_at_15,recall_at_15,p_at_20,recall_at_20,ap,auc
1year.arff,1,BalancedRF,External ML baseline,run_external_baselines.py,0.7296312426907638,0.654320987654321,0.8136094674556213,0.1229698375870069,0.20703125,0.1468144044321329,0.3509933774834437,0.7339652275549712,0.1863905325443787,0.2043622569938359,53.0,378.0,1650.0,28.0,0.1895734597156398,0.4938271604938271,0.1482649842271293,0.5802469135802469,0.1255924170616113,0.654320987654321,0.2915140586884263,0.7887750505271872
1year.arff,1,EasyEnsemble,External ML baseline,run_external_baselines.py,0.6819018536908821,0.5061728395061729,0.9186390532544378,0.1990291262135922,0.2857142857142857,0.2265193370165746,0.3867924528301887,0.7124059463803054,0.0813609467455621,0.0976766239924134,41.0,165.0,1863.0,40.0,0.1990521327014218,0.5185185185185185,0.1577287066246056,0.6172839506172839,0.1398104265402843,0.7283950617283951,0.2642643842223161,0.8390496018701148
1year.arff,1,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.6561371701645484,0.4938271604938271,0.8717948717948718,0.1333333333333333,0.2099737532808399,0.156128024980484,0.3205128205128205,0.6828110161443495,0.1282051282051282,0.1422475106685633,40.0,260.0,1768.0,41.0,0.1658767772511848,0.4320987654320987,0.1324921135646687,0.5185185185185185,0.1113744075829383,0.5802469135802469,0.1805799363519924,0.7601906640368179
1year.arff,1,HistGB,External ML baseline,run_external_baselines.py,0.7587125135443469,0.5925925925925926,0.9714003944773176,0.4528301886792453,0.5133689839572193,0.4752475247524752,0.5581395348837209,0.781996493534955,0.0285996055226824,0.0502607871028923,48.0,58.0,1970.0,33.0,0.2701421800947867,0.7037037037037037,0.1987381703470031,0.7777777777777778,0.1540284360189573,0.8024691358024691,0.5907571559652337,0.8812124089901867
1year.arff,1,LR_balanced,External ML baseline,run_external_baselines.py,0.6366230581037974,0.4691358024691358,0.863905325443787,0.1210191082802547,0.1924050632911392,0.1421091997008227,0.2978056426332288,0.6665205639564613,0.136094674556213,0.1488857278330962,38.0,276.0,1752.0,43.0,0.1421800947867298,0.3703703703703703,0.1198738170347003,0.4691358024691358,0.1090047393364928,0.5679012345679012,0.1544292702164824,0.746262205663915
1year.arff,1,RF_balanced,External ML baseline,run_external_baselines.py,0.6911724362948046,0.5061728395061729,0.9437869822485208,0.2645161290322581,0.3474576271186441,0.2924393723252496,0.4279749478079332,0.7249799108773468,0.0562130177514792,0.0734945471787577,41.0,114.0,1914.0,40.0,0.2227488151658767,0.5802469135802469,0.1703470031545741,0.6666666666666666,0.1398104265402843,0.7283950617283951,0.4036861625411412,0.8375246548323472
1year.arff,2,BalancedRF,External ML baseline,run_external_baselines.py,0.6451293148342427,0.4814814814814814,0.8643984220907298,0.1242038216560509,0.1974683544303797,0.1458489154824233,0.3056426332288401,0.6729399517861057,0.1356015779092702,0.1488857278330962,39.0,275.0,1753.0,42.0,0.1516587677725118,0.3950617283950617,0.1230283911671924,0.4814814814814814,0.1090047393364928,0.5679012345679012,0.1850844944021796,0.7767581026128034
1year.arff,2,EasyEnsemble,External ML baseline,run_external_baselines.py,0.66383906156286,0.4691358024691358,0.9393491124260356,0.2360248447204969,0.3140495867768595,0.2620689655172414,0.3917525773195876,0.7042424574475856,0.0606508875739644,0.0763394973921289,38.0,123.0,1905.0,43.0,0.1990521327014218,0.5185185185185185,0.1640378548895899,0.6419753086419753,0.1374407582938388,0.7160493827160493,0.3269089293933746,0.8582134073587064
1year.arff,2,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.6530496237570279,0.5185185185185185,0.8224852071005917,0.1044776119402985,0.1739130434782608,0.1243339253996447,0.2892561983471074,0.6705018628095551,0.1775147928994082,0.1906116642958748,42.0,360.0,1668.0,39.0,0.1279620853080568,0.3333333333333333,0.1198738170347003,0.4691358024691358,0.0995260663507109,0.5185185185185185,0.1165124747718543,0.7225509533201842
1year.arff,2,HistGB,External ML baseline,run_external_baselines.py,0.6549066869763649,0.4320987654320987,0.992603550295858,0.7,0.5343511450381679,0.6227758007117438,0.4679144385026738,0.7123511578639784,0.007396449704142,0.0237079184447605,35.0,15.0,2013.0,46.0,0.2843601895734597,0.7407407407407407,0.2018927444794952,0.7901234567901234,0.1587677725118483,0.8271604938271605,0.5427491708589489,0.879166971047313
