dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,ap,auc,feature_count,features,alpha
1year.arff,1,BAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6096300263968849,0.4567901234567901,0.8136094674556213,0.0891566265060241,0.1491935483870967,0.1062607696726019,0.2503382949932341,0.1307078778675356,0.36487559886216187,0.6351997954562058,0.1332386965517394,0.6701792193245184,23.0,23.0,
1year.arff,1,BalancedRF,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7296312426907638,0.654320987654321,0.8136094674556213,0.1229698375870069,0.20703125,0.1468144044321329,0.3509933774834437,0.2230094073083133,0.4914847073915776,0.7339652275549712,0.2915140586884263,0.7887750505271872,,,
1year.arff,1,EasyEnsemble,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6819018536908821,0.5061728395061729,0.9186390532544378,0.1990291262135922,0.2857142857142857,0.2265193370165746,0.3867924528301887,0.2749920552709779,0.5037959010086304,0.7124059463803054,0.2642643842223161,0.8390496018701148,,,
1year.arff,1,ExtraTrees_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6561371701645484,0.4938271604938271,0.8717948717948718,0.1333333333333333,0.2099737532808399,0.156128024980484,0.3205128205128205,0.2011541200781928,0.4424247405948684,0.6828110161443495,0.1805799363519924,0.7601906640368179,,,
1year.arff,1,HistGB,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7587125135443469,0.5925925925925926,0.9714003944773176,0.4528301886792453,0.5133689839572193,0.4752475247524752,0.5581395348837209,0.4960857832890756,0.6585222071062629,0.781996493534955,0.5907571559652337,0.8812124089901867,,,
1year.arff,1,INGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6383133502324377,0.5679012345679012,0.7174556213017751,0.0743134087237479,0.1314285714285714,0.0899491591709034,0.2439024390243902,0.1204276848131485,0.36609859674723716,0.6426784279348381,0.1569677822613601,0.6936073976672268,10.0,10.0,
1year.arff,1,LR_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6366230581037974,0.4691358024691358,0.863905325443787,0.1210191082802547,0.1924050632911392,0.1421091997008227,0.2978056426332288,0.1797948728673531,0.4176835236152882,0.6665205639564613,0.1544292702164824,0.746262205663915,,,
1year.arff,1,MSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.635589485216349,0.5185185185185185,0.7790927021696252,0.0857142857142857,0.1471103327495621,0.102890739833415,0.257985257985258,0.1354267079813928,0.3796230520556568,0.6488056103440718,0.1219920747554499,0.708452041785375,13.0,13.0,
1year.arff,1,NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6432913425739453,0.5061728395061729,0.8175542406311637,0.0997566909975669,0.1666666666666666,0.1188405797101449,0.2789115646258503,0.1570600607235449,0.4020626444798079,0.6618635400686683,0.1341562059927936,0.7189775245330801,35.0,35.0,
1year.arff,1,PBMSBAINGO-HGBKELM(F2-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7387107841480992,0.5555555555555556,0.9822485207100592,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5378040762656148,0.6645448896787035,0.7689020381328073,0.5772408080586724,0.8673813524240874,23.0,23.0,
1year.arff,1,PBMSBAINGO-HGBKELM(MCC-guarded),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7385253414982215,0.5555555555555556,0.9817554240631164,0.5487804878048781,0.5521472392638037,0.5501222493887531,0.5541871921182266,0.5341563546969067,0.6629280589044754,0.768655489809336,0.5847145734705278,0.8721296905057588,,23.0,
1year.arff,1,PBMSBAINGO-HGBKELM(Sensitivity-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.8100629975799499,0.7283950617283951,0.900887573964497,0.2269230769230769,0.3460410557184751,0.2631578947368421,0.5051369863013698,0.3678469024266061,0.6226369607983295,0.814641317846446,0.581173572983472,0.8582073197457813,9.0,9.0,
1year.arff,1,PBMSBAINGO-HGBKELM(Triad-mode),Proposed hybrid optimized KELM,formal_pbmsbaingo_hgbkelm_triad_alpha005_10seed_complete.csv,0.7854300930082798,0.6296296296296297,0.9797830374753452,0.5543478260869565,0.5895953757225434,0.5679287305122495,0.6129807692307693,0.5733780972652497,0.7072159674841481,0.8047063335524873,0.6584286627283572,0.9005466676406847,17.0,17.0,0.05
1year.arff,1,PBMSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.677266165321625,0.5679012345679012,0.8076923076923077,0.1055045871559633,0.1779497098646034,0.1260273972602739,0.3026315789473684,0.1782392665155295,0.43401764083265704,0.6877967711301045,0.1689993859421427,0.7472970998612023,33.0,33.0,
1year.arff,1,RF_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6911724362948046,0.5061728395061729,0.9437869822485208,0.2645161290322581,0.3474576271186441,0.2924393723252496,0.4279749478079332,0.3313767941056352,0.5409597726415317,0.7249799108773468,0.4036861625411412,0.8375246548323472,,,
1year.arff,1,TIS_NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6696596196100776,0.5555555555555556,0.8071992110453649,0.1032110091743119,0.1740812379110251,0.1232876712328767,0.2960526315789473,0.1721465793444501,0.42579661741957253,0.6813773833004602,0.1281073283829364,0.7472179608931746,30.0,30.0,
1year.arff,2,BAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6006009522835416,0.4320987654320987,0.8348126232741617,0.0945945945945946,0.155210643015521,0.1121076233183856,0.2521613832853026,0.1348630373782477,0.36505221661522447,0.6334556943531302,0.1313013699830246,0.7303339664450775,8.0,8.0,
1year.arff,2,BalancedRF,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6451293148342427,0.4814814814814814,0.8643984220907298,0.1242038216560509,0.1974683544303797,0.1458489154824233,0.3056426332288401,0.1867259869069314,0.42674270493994004,0.6729399517861057,0.1850844944021796,0.7767581026128034,,,
1year.arff,2,EasyEnsemble,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.66383906156286,0.4691358024691358,0.9393491124260356,0.2360248447204969,0.3140495867768595,0.2620689655172414,0.3917525773195876,0.295627678797112,0.506940396488881,0.7042424574475856,0.3269089293933746,0.8582134073587064,,,
1year.arff,2,ExtraTrees_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6530496237570279,0.5185185185185185,0.8224852071005917,0.1044776119402985,0.1739130434782608,0.1243339253996447,0.2892561983471074,0.1668421668401207,0.41438058218551116,0.6705018628095551,0.1165124747718543,0.7225509533201842,,,
1year.arff,2,HistGB,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6549066869763649,0.4320987654320987,0.992603550295858,0.7,0.5343511450381679,0.6227758007117438,0.4679144385026738,0.5364730851772355,0.6127767270781459,0.7123511578639784,0.5427491708589489,0.879166971047313,,,
1year.arff,2,INGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6782093020622431,0.6049382716049383,0.7603550295857988,0.0915887850467289,0.1590909090909091,0.1103106708689779,0.2852153667054715,0.161338842881647,0.42023169732130855,0.6826466505953686,0.0853249943470047,0.7633683979837825,7.0,7.0,
1year.arff,2,LR_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6769425016637993,0.6296296296296297,0.727810650887574,0.0845771144278607,0.1491228070175438,0.1022864019253911,0.2750809061488673,0.1520228377361061,0.4114693271017368,0.6787201402586018,0.1109593083615883,0.7498782477414954,,,
1year.arff,2,MSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7050116453778216,0.6666666666666666,0.7455621301775148,0.0947368421052631,0.1658986175115207,0.1143583227445997,0.3020134228187919,0.1783848936505239,0.4459130868662551,0.7061143984220908,0.1617522738024587,0.7893411985292329,10.0,10.0,
