dataset,seed,method,policy,test_n,test_positive,threshold,design,selection_note,calibration,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc,brier,log_loss,ece_10,calibration_intercept,calibration_slope,relative_cost_ratio,cost_per_observation,normalized_cost,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,precision_ci_low,precision_ci_high,f2_ci_low,f2_ci_high,mcc_ci_low,mcc_ci_high,triad_score_ci_low,triad_score_ci_high,ap_ci_low,ap_ci_high,auc_ci_low,auc_ci_high,brier_ci_low,brier_ci_high,model_seed,horizon,target_region,source_n,target_n,feature_set
PONE2016_h1_target_Asia,20260727,HistGB,triad,96,48,0.912513662804852,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.7822909731466078,0.625,0.9791666666666666,0.967741935483871,0.759493670886076,0.872093023255814,0.672645739910314,0.6460415830634638,0.7339486965277799,0.8020833333333333,0.0208333333333333,0.3229166666666667,30.0,1.0,47.0,18.0,0.9494823313405836,0.9396701388888888,0.1031382988368946,0.3404948699175872,0.1013675773989248,0.0118002001395812,1.034502923305926,,,,0.5645833333333333,0.7083333333333334,0.9395833333333332,1.0,0.9205754141238012,1.0,0.618142936837538,0.7512269583027398,0.6025912919837932,0.732827535942887,0.7036660805810598,0.8019258362900804,0.9053896251096236,0.962171261149692,0.8877604166666667,0.9532552083333332,0.0999672540892692,0.1479905446568464,20260727,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,HistGB,cost_1,96,48,0.6967375898246699,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.1041666666666666,0.46875,40.0,5.0,43.0,8.0,0.9494823313405836,0.9396701388888888,0.1031382988368946,0.3404948699175872,0.1013675773989248,0.0118002001395812,1.034502923305926,1.0,0.1354166666666666,0.1354166666666666,0.7770833333333333,0.8916666666666667,0.85625,0.9166666666666666,0.8529139685476411,0.9136481577581732,0.7982742830463123,0.8957578847438556,0.6883772580681775,0.8064739321428467,0.7881743157712537,0.8696183983042898,0.9347176624462448,0.9725090567890764,0.9275173611111112,0.9620225694444444,0.0810258872989536,0.1130254741421499,20260727,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,HistGB,cost_2,96,48,0.6967375898246699,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.1041666666666666,0.46875,40.0,5.0,43.0,8.0,0.9494823313405836,0.9396701388888888,0.1031382988368946,0.3404948699175872,0.1013675773989248,0.0118002001395812,1.034502923305926,2.0,0.21875,0.1458333333333333,0.8333333333333334,0.9125,0.8208333333333333,0.9583333333333334,0.82405557967868,0.9563241106719368,0.8323580522750648,0.9209158239567014,0.6584762473333526,0.8718086861364517,0.7677156624456329,0.9135123314681144,0.9362042649514732,0.988627836560072,0.9104600694444444,0.9855902777777776,0.0506365971119916,0.1446930564685107,20260727,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,HistGB,cost_5,96,48,0.0983910952629454,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.4865336327998411,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.1031382988368946,0.3404948699175872,0.1013675773989248,0.0118002001395812,1.034502923305926,5.0,0.40625,0.1354166666666666,0.91875,0.9770833333333332,0.4229166666666666,0.6020833333333333,0.6142857142857143,0.7106060606060607,0.8358778625954199,0.9089147286821704,0.393290884607625,0.6247585392159377,0.534493672735413,0.7162931294902076,0.9155996804231552,0.979310231619143,0.8977430555555556,0.9758246527777776,0.0740435326461065,0.1424710900895309,20260727,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,HistGB,cost_10,96,48,0.0983910952629454,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.4865336327998411,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.1031382988368946,0.3404948699175872,0.1013675773989248,0.0118002001395812,1.034502923305926,10.0,0.5625,0.1022727272727272,0.9166666666666666,0.9583333333333334,0.4395833333333333,0.58125,0.6253571428571428,0.6959294436906378,0.8400163785791582,0.8911286701984377,0.4230351272494032,0.5825916334329455,0.5617855722875764,0.6871893941543903,0.931719411913358,0.9594950600481637,0.9158420138888888,0.9555555555555556,0.0855752993840052,0.1356661840671485,20260727,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,HistGB,cost_20,96,48,0.0983910952629454,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.4865336327998411,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.1031382988368946,0.3404948699175872,0.1013675773989248,0.0118002001395812,1.034502923305926,20.0,0.875,0.0833333333333333,0.8979166666666667,0.95625,0.36875,0.6395833333333334,0.5921791044776119,0.7184110970996217,0.8245846167194482,0.8776249740101584,0.3379162518880258,0.5815982811692771,0.4841963251045439,0.6990745959616816,0.929528858499532,0.9671381119568928,0.9078993055555556,0.957421875,0.0864660681120632,0.1333611034733789,20260727,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,KELM_PBMSBAINGO,triad,96,48,0.8994312477725885,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.7421463804398698,0.5625,0.9791666666666666,0.9642857142857144,0.7105263157894737,0.84375,0.6136363636363636,0.5958540230683373,0.6897732389653396,0.7708333333333333,0.0208333333333333,0.2916666666666667,27.0,1.0,47.0,21.0,0.9452957206502608,0.9388020833333334,0.1006514570405319,0.3162787495878225,0.0574561474339924,-0.2708956778914098,1.0569057874111707,,,,0.5416666666666666,0.6979166666666667,0.9583333333333334,0.9791666666666666,0.92926267281106,0.9629629629629628,0.5911789124117891,0.736075053103611,0.5529378589666437,0.6798260345059921,0.6601060828122404,0.7688052250861337,0.935513907791282,0.9527034674086178,0.9207465277777778,0.9477864583333332,0.0985824410397469,0.1113845317494395,20260828,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,KELM_PBMSBAINGO,cost_1,96,48,0.4884552291865194,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.7083333333333334,0.8024924825455735,0.8541666666666666,0.1458333333333333,0.5,41.0,7.0,41.0,7.0,0.9452957206502608,0.9388020833333334,0.1006514570405319,0.3162787495878225,0.0574561474339924,-0.2708956778914098,1.0569057874111707,1.0,0.1458333333333333,0.1458333333333333,0.8354166666666667,0.8958333333333334,0.7333333333333333,0.93125,0.7588749126484976,0.92639146567718,0.8211136306374401,0.8903029382990926,0.5762128219113354,0.792086985490664,0.7078252036036116,0.8585907413929489,0.9180444425607844,0.9683688978033718,0.8907118055555555,0.9658420138888888,0.0789047445864465,0.1481786384727081,20260828,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,KELM_PBMSBAINGO,cost_2,96,48,0.1714336613113783,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.7282732622061889,0.9791666666666666,0.5416666666666666,0.6811594202898551,0.8034188034188035,0.7253086419753086,0.9003831417624522,0.5792067057140966,0.6747467024452576,0.7604166666666666,0.4583333333333333,0.71875,47.0,22.0,26.0,1.0,0.9452957206502608,0.9388020833333334,0.1006514570405319,0.3162787495878225,0.0574561474339924,-0.2708956778914098,1.0569057874111707,2.0,0.25,0.1666666666666666,0.9604166666666668,0.9979166666666668,0.3875,0.6583333333333333,0.616017316017316,0.7411255411255412,0.8753926399815568,0.9203208556149732,0.4577435709152042,0.6714804786194188,0.5579190233415394,0.755480334800374,0.8878292773552261,0.968846767437194,0.8630642361111112,0.965407986111111,0.0799206133998269,0.157403735812108,20260828,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260727,KELM_PBMSBAINGO,cost_5,96,48,0.1714336613113783,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.7282732622061889,0.9791666666666666,0.5416666666666666,0.6811594202898551,0.8034188034188035,0.7253086419753086,0.9003831417624522,0.5792067057140966,0.6747467024452576,0.7604166666666666,0.4583333333333333,0.71875,47.0,22.0,26.0,1.0,0.9452957206502608,0.9388020833333334,0.1006514570405319,0.3162787495878225,0.0574561474339924,-0.2708956778914098,1.0569057874111707,5.0,0.28125,0.09375,0.9583333333333334,0.9791666666666666,0.39375,0.6395833333333334,0.6180073657685597,0.7306344696969697,0.8750484419629402,0.9165564903846154,0.4567242847078582,0.6562067489329833,0.5591959729389743,0.7425538772205262,0.9017950249991938,0.9654536066309428,0.8940972222222223,0.9569878472222224,0.0833593465610286,0.140729432603661,20260828,1,Asia,342,96,V1-V10_financial_only
