dataset,seed,method,optimizer,evals,val_loss,val_triad,val_ap,C,gamma,cost_pos,blend_alpha,selected_feature_count,selected_features,model_seed,horizon,target_region,gate_selected,gate_utility_simple,gate_utility_fused,gate_difference,gate_standard_error,gate_required_margin
PONE2016_h1_target_Asia,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.2112426393411644,0.8021505904755111,0.8382301768156332,3.4056508898641096,0.0013286427067468,21.601235258765232,-1.0,6.0,"[3, 4, 5, 6, 8, 9]",20260828,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,1.0,,"[3, 4, 5, 6, 8, 9]",20260727,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,KELM_risk_feature,PBMSBAINGO,81,0.1975626157918716,0.8220941129229759,0.8687187572382506,11.01796481532436,0.0029901255512459,2.059685709348877,-1.0,10.0,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11]",20260938,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.205982778523026,0.8021505904755111,0.8914889859021979,0.3240815548027035,0.261602075579493,0.3753354538663077,0.2,4.0,"[1, 5, 10, 11]",20261034,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,1,Asia,KELM_risk_feature,0.54443971361459,0.5404336172077868,-0.0040060964068031,0.0592052015873321,0.0592052015873321
PONE2016_h1_target_Asia,20260727,Full_random_search,Random,81,0.2080646550930332,0.8021505904755111,0.86511951071966,1333.641717048994,0.1273333386823588,0.716552935332647,0.05,5.0,"[5, 6, 8, 10, 11]",20261128,1,Asia,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.1364103815887062,0.8746437993905218,0.9461090803864932,4.801085416692544,0.0113889151940041,5.343888887097874,-1.0,5.0,"[3, 5, 6, 9, 10]",20260828,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.1,,"[3, 5, 6, 9, 10]",20260727,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_risk_feature,PBMSBAINGO,81,0.1089213677981189,0.8995465268881894,0.9465583509877626,1.2774324455633974,0.3300579767072306,7.883822337601266,-1.0,4.0,"[2, 6, 9, 11]",20260938,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.1325587574662418,0.8765931394021036,0.9708795135077056,2147.2903672651446,1.1070813204217806,1.2650182864623616,0.7,5.0,"[1, 3, 4, 5, 11]",20261034,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,1,Europe,KELM_risk_feature,0.5742941478714972,0.614019382783594,0.0397252349120967,0.0489118004556944,0.0489118004556944
PONE2016_h1_target_Europe,20260727,Full_random_search,Random,81,0.1607142808554977,0.8497209501706778,0.8881072619647785,0.0808062438003895,2.5068361436396382,81.38091282766237,0.7,5.0,"[1, 4, 8, 10, 11]",20261128,1,Europe,,,,,,
PONE2016_h1_target_North_America,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.1636135724932037,0.8497209501706778,0.889087189103273,846.4872639225839,0.0006658191453737,23.782471880990848,-1.0,6.0,"[3, 4, 5, 6, 9, 10]",20260828,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.0,,"[3, 4, 5, 6, 9, 10]",20260727,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,KELM_risk_feature,PBMSBAINGO,81,0.1904295820378208,0.8271349088932628,0.9324498522291388,35.83357183677056,0.0270938391005961,4.165778779938736,-1.0,10.0,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]",20260938,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.1793998339250652,0.8271349088932628,0.9445155725956071,0.01,0.5664378439390841,0.7342295755563009,0.3,4.0,"[1, 5, 10, 11]",20261034,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,1,North America,KELM_risk_feature,0.605701705680214,0.605701705680214,0.0,0.0077126533523638,0.0077126533523638
PONE2016_h1_target_North_America,20260727,Full_random_search,Random,81,0.181226783981182,0.8271349088932628,0.9436387488021168,121.03733737983436,0.0383708378734591,0.1174633647667484,0.2,5.0,"[1, 4, 5, 10, 11]",20261128,1,North America,,,,,,
