method,metric,task_count,mean,task_sd,task_bootstrap_ci_low,task_bootstrap_ci_high,mean_within_task_seed_sd,task_wins_including_ties
Balanced_logistic,auc,9,0.8419472529498326,0.0742105868209143,0.7951463043689064,0.8857444557011436,0.0,5
Balanced_logistic,ap,9,0.8559716077762769,0.07389961976309596,0.8092759087778397,0.8982308566060476,0.0,4
Balanced_logistic,mcc,9,0.5269967900973261,0.11982337976824953,0.4531147285939821,0.5997241103455112,0.0,5
Balanced_logistic,balanced_accuracy,9,0.7456915891090568,0.06450080380265227,0.7062764251934938,0.7851013483314232,0.0,4
Balanced_logistic,sensitivity,9,0.5950219834404196,0.16345326903569404,0.4992796644928428,0.7018974593544867,0.0,5
Balanced_logistic,specificity,9,0.8963611947776938,0.10235711770204219,0.8266140286004341,0.9490900757378432,0.0,3
Balanced_logistic,brier,9,0.17415932584420019,0.0408680515716161,0.14790443902745007,0.19780311141612936,0.0,3
Balanced_logistic,log_loss,9,0.5500720288171217,0.10487793406324473,0.47945541845112255,0.6069808036952646,0.0,2
HistGB,auc,9,0.8329053539531023,0.0774822000453228,0.7847186806431751,0.8792272840520386,0.0,1
HistGB,ap,9,0.8267998215825731,0.08563205157254511,0.7739051743536831,0.8781486544353446,0.0,2
HistGB,mcc,9,0.47567270652629534,0.14920381621548265,0.3784223767775145,0.5625008992026426,0.0,0
HistGB,balanced_accuracy,9,0.7230048279414018,0.08126639287038777,0.6721577028963085,0.770096086410086,0.0,1
HistGB,sensitivity,9,0.550987932216165,0.17246999257004536,0.4413434983525423,0.6523861434108527,0.0,2
HistGB,specificity,9,0.8950217236666386,0.05417790406159165,0.8597093075870361,0.9261458333333332,0.0,2
HistGB,brier,9,0.17072983258423735,0.03808144328541994,0.14696828078136512,0.1936024038092251,0.0,0
HistGB,log_loss,9,0.5169184936966462,0.09297550611552119,0.4573464058493372,0.571657647552079,0.0,1
KELM_PBMSBAINGO,auc,9,0.8387220754365952,0.07707763665574742,0.7882000240722791,0.8821356587405291,0.024952476544805518,1
KELM_PBMSBAINGO,ap,9,0.8427344214014546,0.07101064905747752,0.7978989939410073,0.884912000576514,0.027344176098764553,0
KELM_PBMSBAINGO,mcc,9,0.4874749862448993,0.1460120932604024,0.39518413135436753,0.5738146811980288,0.0764522440209533,0
KELM_PBMSBAINGO,balanced_accuracy,9,0.7230981587921659,0.079401355864238,0.6729833320771674,0.770584033298748,0.04196442945875572,1
KELM_PBMSBAINGO,sensitivity,9,0.5305187133918924,0.1613906012966495,0.4311522363156191,0.6305980685022015,0.10324650384582806,0
KELM_PBMSBAINGO,specificity,9,0.9156776041924393,0.045893613638514026,0.8865417077358724,0.9421664710767542,0.05401463611299535,1
KELM_PBMSBAINGO,brier,9,0.17046414192144346,0.038690858386140635,0.14722117144385638,0.1947982925385792,0.015675343391360494,2
KELM_PBMSBAINGO,log_loss,9,0.5253825522024365,0.09883022730716866,0.4656755806303043,0.5864990505967959,0.050791335802527,1
KELM_score_fusion,auc,9,0.8435467085852877,0.0739225123279426,0.7954002497037104,0.8851288209161036,0.015948730650906864,0
KELM_score_fusion,ap,9,0.844426583161829,0.06830859754186536,0.8015738114047345,0.8850602030887058,0.020932612275309813,1
KELM_score_fusion,mcc,9,0.4970902724730071,0.13809286955454653,0.40791302658586753,0.5773480487244307,0.061875548772309816,2
KELM_score_fusion,balanced_accuracy,9,0.728851906019597,0.0772143118726668,0.6801899828811198,0.7750644507887414,0.03571574187081575,3
KELM_score_fusion,sensitivity,9,0.5431167841355835,0.1625461781287326,0.4420225847540662,0.6406993863717827,0.09125109447011484,0
