method,metric,mean_delta_raw_minus_deduplicated,mean_absolute_delta,max_absolute_delta,tasks
Balanced_logistic,auc,-0.00021413073930810612,0.0012631308319426765,0.0038808147106318414,9
Balanced_logistic,ap,-0.0013005586426402137,0.0014024500830735415,0.005827337363564555,9
Balanced_logistic,mcc,0.009662440308589858,0.009662440308589858,0.025582553279248188,9
Balanced_logistic,balanced_accuracy,0.0036652534659155325,0.0036652534659155325,0.012621916236374098,9
Balanced_logistic,brier,-0.0007365003102031744,0.001177437206790531,0.0034375836479065003,9
Balanced_logistic,loss,-0.0009565843146200533,0.0028108345049889425,0.007488406111509027,9
Full_PBMSBAINGO,auc,-0.004360615874094679,0.014177424630256348,0.03080645838582352,9
Full_PBMSBAINGO,ap,-0.000374164494787061,0.027886538074081306,0.06534691518220359,9
Full_PBMSBAINGO,mcc,-0.025658470799597634,0.04545490620834385,0.11903352126483113,9
Full_PBMSBAINGO,balanced_accuracy,-0.018222382238420813,0.030826097281716393,0.08247274813539873,9
Full_PBMSBAINGO,brier,0.002755572714699939,0.005677093031079005,0.021017882442476904,9
Full_PBMSBAINGO,loss,0.003915666493653164,0.01863896748487999,0.05617841185983141,9
Full_random_search,auc,-0.015187104999521313,0.020704845286314874,0.05164930555555547,9
Full_random_search,ap,-0.019370839742156292,0.028753616113419794,0.11632389067290227,9
Full_random_search,mcc,-0.008102285230117023,0.060396887106385945,0.23482088461508788,9
Full_random_search,balanced_accuracy,-0.005365425874840235,0.0374637299046119,0.15625,9
Full_random_search,brier,0.0037541834534217883,0.00696927328408063,0.0251909790870343,9
Full_random_search,loss,0.006521305197678153,0.016956017198001525,0.05729634809856776,9
HistGB,auc,0.0005340959391280961,0.003825642876362297,0.013232514177693777,9
HistGB,ap,0.0012974128755802112,0.0046966142979560305,0.01173941503740017,9
HistGB,mcc,0.00333428735644802,0.018605667766706805,0.05400884883232604,9
HistGB,balanced_accuracy,0.0007869059586668663,0.010331916998052039,0.03125,9
HistGB,brier,0.0006570797372533758,0.002055505419357847,0.005379834397677696,9
HistGB,loss,0.0006659909987923811,0.004246377112136743,0.007826964925231161,9
KELM_PBMSBAINGO,auc,-0.0018210258525628174,0.032587807795650306,0.08732036991503422,9
KELM_PBMSBAINGO,ap,0.002714478347422716,0.02713251244318439,0.0553395535417307,9
KELM_PBMSBAINGO,mcc,0.03061058896695532,0.08413318561558289,0.17541098247903958,9
KELM_PBMSBAINGO,balanced_accuracy,0.02513553579345631,0.05649219653437327,0.13393318667580267,9
KELM_PBMSBAINGO,brier,-0.0045141368787537245,0.019912818211137256,0.0445036824837064,9
KELM_PBMSBAINGO,loss,-0.015022413793232528,0.07119402263084229,0.17571682917265796,9
KELM_risk_feature,auc,0.0044008444909820294,0.03646733243343536,0.06376697265251474,9
KELM_risk_feature,ap,0.002757195631074633,0.03347142662448099,0.07578596214353095,9
KELM_risk_feature,mcc,0.03273151618307749,0.04581480041281646,0.17330895633142118,9
KELM_risk_feature,balanced_accuracy,0.01535042653409967,0.025662987772586836,0.09343365253077984,9
KELM_risk_feature,brier,-0.007347961290143846,0.013812097633535069,0.028541968040072793,9
KELM_risk_feature,loss,-0.02249754470261141,0.03939123030183875,0.11650193497336953,9
KELM_score_fusion,auc,-0.008179693865078861,0.022172749195382726,0.08732036991503422,9
KELM_score_fusion,ap,0.0003087454049976395,0.015538381556161199,0.04620612595797724,9
KELM_score_fusion,mcc,-0.00999967937884476,0.05459178979811079,0.17428408038011967,9
KELM_score_fusion,balanced_accuracy,-0.0025185612062360954,0.03147841306793247,0.08695652173913038,9
KELM_score_fusion,brier,-0.0005822282338735342,0.011406886990272576,0.0419502684843196,9
KELM_score_fusion,loss,0.0012076679271066555,0.03732007456129332,0.13767871399767773,9
Uncertainty_gated_fusion,auc,0.0029285771993529356,0.03499506514180627,0.06376697265251474,9
Uncertainty_gated_fusion,ap,0.0008621960948828179,0.03157642708828918,0.05873096631780461,9
Uncertainty_gated_fusion,mcc,0.04300550334716484,0.056088787576903804,0.17588067253034972,9
Uncertainty_gated_fusion,balanced_accuracy,0.02374835935063714,0.034060920589124306,0.09952120383036944,9
Uncertainty_gated_fusion,brier,-0.005525093892567658,0.011989230235958881,0.028541968040072793,9
Uncertainty_gated_fusion,loss,-0.019218254731389203,0.03611194033061654,0.11650193497336953,9
