dataset,horizon,target_region,seed,method,auc,ap,mcc,balanced_accuracy,sensitivity,specificity,brier,log_loss
PONE2016_h1_target_Asia,1,Asia,20260727,HistGB,0.9396701388888888,0.9494823313405836,0.6460415830634638,0.8020833333333333,0.625,0.9791666666666666,0.1031382988368946,0.3404948699175872
PONE2016_h1_target_Asia,1,Asia,20260727,KELM_PBMSBAINGO,0.9388020833333334,0.9452957206502608,0.5958540230683373,0.7708333333333333,0.5625,0.9791666666666666,0.1006514570405319,0.3162787495878225
PONE2016_h1_target_Asia,1,Asia,20260727,KELM_score_fusion,0.9388020833333334,0.9452957206502608,0.5958540230683373,0.7708333333333333,0.5625,0.9791666666666666,0.1006959894989607,0.3163772024599796
PONE2016_h1_target_Asia,1,Asia,20260727,KELM_risk_feature,0.95703125,0.9593440392940052,0.5129891760425771,0.7083333333333334,0.4166666666666667,1.0,0.0894669688208606,0.2996910942394627
PONE2016_h1_target_Asia,1,Asia,20260727,Full_PBMSBAINGO,0.9396701388888888,0.9496047865316364,0.7315635209502899,0.8541666666666666,0.7291666666666666,0.9791666666666666,0.1013045113361499,0.3342672246441558
PONE2016_h1_target_Asia,1,Asia,20260727,Uncertainty_gated_fusion,0.95703125,0.9593440392940052,0.5129891760425771,0.7083333333333334,0.4166666666666667,1.0,0.0894669688208606,0.2996910942394627
PONE2016_h1_target_Asia,1,Asia,20260727,Full_random_search,0.9401041666666666,0.9490416090248612,0.7315635209502899,0.8541666666666666,0.7291666666666666,0.9791666666666666,0.1024094779047003,0.3380126982222165
PONE2016_h1_target_Asia,1,Asia,20260727,Balanced_logistic,0.9440104166666666,0.9543744904577072,0.6798834181250946,0.8229166666666666,0.6666666666666666,0.9791666666666666,0.1023206683367922,0.3235760106814021
PONE2016_h1_target_Europe,1,Europe,20260727,HistGB,0.8808481532147743,0.8607584204467822,0.5493412588939887,0.7611491108071136,0.6046511627906976,0.9176470588235294,0.1498404627628348,0.4779763713993825
PONE2016_h1_target_Europe,1,Europe,20260727,KELM_PBMSBAINGO,0.8727770177838576,0.8621831019754258,0.6037389203907001,0.784610123119015,0.6162790697674418,0.9529411764705882,0.1442073745151267,0.4731165508813007
PONE2016_h1_target_Europe,1,Europe,20260727,KELM_score_fusion,0.8857729138166894,0.8634661986434632,0.5739450711702778,0.7728454172366621,0.6162790697674418,0.9294117647058824,0.1492846367942992,0.4761188076529444
PONE2016_h1_target_Europe,1,Europe,20260727,KELM_risk_feature,0.8521203830369356,0.8125920235817495,0.4133749784584399,0.6911764705882353,0.5,0.8823529411764706,0.1486898455293585,0.4680013420628304
PONE2016_h1_target_Europe,1,Europe,20260727,Full_PBMSBAINGO,0.8590971272229823,0.8059760747173506,0.5941782969957782,0.7956224350205199,0.7441860465116279,0.8470588235294118,0.1482280111880749,0.498039614806022
PONE2016_h1_target_Europe,1,Europe,20260727,Uncertainty_gated_fusion,0.8521203830369356,0.8125920235817495,0.4133749784584399,0.6911764705882353,0.5,0.8823529411764706,0.1486898455293585,0.4680013420628304
PONE2016_h1_target_Europe,1,Europe,20260727,Full_random_search,0.8465116279069768,0.8045747671484541,0.5817126221505409,0.7897400820793434,0.7441860465116279,0.8352941176470589,0.1410975780628446,0.4700644244320708
PONE2016_h1_target_Europe,1,Europe,20260727,Balanced_logistic,0.8859097127222983,0.8789238152502963,0.5035262172575005,0.7149794801641587,0.4534883720930232,0.976470588235294,0.1335267507778348,0.4849476302041786
PONE2016_h1_target_North_America,1,North America,20260727,HistGB,0.9073871409028728,0.9192924561283295,0.6397337567110021,0.8189466484268126,0.7790697674418605,0.8588235294117647,0.1380057893140534,0.4358467176219614
PONE2016_h1_target_North_America,1,North America,20260727,KELM_PBMSBAINGO,0.8694938440492477,0.8830620486960558,0.5554858832760924,0.7555403556771545,0.5581395348837209,0.9529411764705882,0.1432339840558163,0.4597618120543212
PONE2016_h1_target_North_America,1,North America,20260727,KELM_score_fusion,0.9073871409028728,0.9192924561283295,0.6397337567110021,0.8189466484268126,0.7790697674418605,0.8588235294117647,0.1380057893140534,0.4358467176219614
PONE2016_h1_target_North_America,1,North America,20260727,KELM_risk_feature,0.8902872777017784,0.8917849470234145,0.5145372272117755,0.7379616963064295,0.5465116279069767,0.9294117647058824,0.1370197225993914,0.4186318609831978
PONE2016_h1_target_North_America,1,North America,20260727,Full_PBMSBAINGO,0.9043775649794802,0.9050203787902076,0.6386307361897502,0.8188782489740082,0.7906976744186046,0.8470588235294118,0.136428232117122,0.4318143142762016
PONE2016_h1_target_North_America,1,North America,20260727,Uncertainty_gated_fusion,0.8902872777017784,0.8917849470234145,0.5145372272117755,0.7379616963064295,0.5465116279069767,0.9294117647058824,0.1370197225993914,0.4186318609831978
PONE2016_h1_target_North_America,1,North America,20260727,Full_random_search,0.9086183310533515,0.917621574635422,0.6620554157025017,0.8305745554035567,0.8023255813953488,0.8588235294117647,0.1359215944293952,0.4283941149423176
PONE2016_h1_target_North_America,1,North America,20260727,Balanced_logistic,0.8811217510259918,0.9134370704739888,0.6628442637111425,0.8138166894664842,0.6511627906976745,0.976470588235294,0.1361765994251453,0.4761766750967566
PONE2016_h2_target_Asia,2,Asia,20260727,HistGB,0.8546006944444444,0.8322420966926936,0.5843389347222367,0.78125,0.6458333333333334,0.9166666666666666,0.1657008508261986,0.5129137304205235
PONE2016_h2_target_Asia,2,Asia,20260727,KELM_PBMSBAINGO,0.9171006944444444,0.9112929211235709,0.529237746757157,0.7291666666666666,0.4791666666666667,0.9791666666666666,0.1731117070098659,0.5305380226915458
PONE2016_h2_target_Asia,2,Asia,20260727,KELM_score_fusion,0.8546006944444444,0.8322420966926936,0.5843389347222367,0.78125,0.6458333333333334,0.9166666666666666,0.1657008508261986,0.5129137304205235
PONE2016_h2_target_Asia,2,Asia,20260727,KELM_risk_feature,0.9144965277777778,0.910165385574686,0.4811252243246881,0.7083333333333334,0.4583333333333333,0.9583333333333334,0.1591643644690465,0.5000044109235863
PONE2016_h2_target_Asia,2,Asia,20260727,Full_PBMSBAINGO,0.8398437499999999,0.8183871326793701,0.5123778072572299,0.7395833333333333,0.5625,0.9166666666666666,0.1634301625943308,0.5044056186656943
PONE2016_h2_target_Asia,2,Asia,20260727,Uncertainty_gated_fusion,0.9144965277777778,0.910165385574686,0.4811252243246881,0.7083333333333334,0.4583333333333333,0.9583333333333334,0.1591643644690465,0.5000044109235863
PONE2016_h2_target_Asia,2,Asia,20260727,Full_random_search,0.8754340277777778,0.8509137536727072,0.5662888944297417,0.7708333333333333,0.625,0.9166666666666666,0.1511769530473285,0.4766319358851316
PONE2016_h2_target_Asia,2,Asia,20260727,Balanced_logistic,0.9144965277777776,0.9124399524683342,0.6493659782899173,0.8229166666666667,0.7708333333333334,0.875,0.2190746762317519,0.6304146150301188
PONE2016_h2_target_Europe,2,Europe,20260727,HistGB,0.7586867305061559,0.7659263943051273,0.4333687592941463,0.6971272229822161,0.4883720930232558,0.9058823529411764,0.2031484278929452,0.5928567766779367
PONE2016_h2_target_Europe,2,Europe,20260727,KELM_PBMSBAINGO,0.7857729138166896,0.8042652058100974,0.3816409239083795,0.6680574555403557,0.4302325581395348,0.9058823529411764,0.1895241831656516,0.5528271779762554
PONE2016_h2_target_Europe,2,Europe,20260727,KELM_score_fusion,0.7586867305061559,0.7659263943051273,0.4333687592941463,0.6971272229822161,0.4883720930232558,0.9058823529411764,0.2031484278929452,0.5928567766779367
PONE2016_h2_target_Europe,2,Europe,20260727,KELM_risk_feature,0.7878248974008208,0.8063432283705269,0.4314114278082342,0.6857045143638851,0.4302325581395348,0.9411764705882352,0.1965289855598736,0.5720999385883234
PONE2016_h2_target_Europe,2,Europe,20260727,Full_PBMSBAINGO,0.8031463748290013,0.8165036987256955,0.4548746532871806,0.703077975376197,0.4767441860465116,0.9294117647058824,0.1905928735520939,0.5578737709129995
PONE2016_h2_target_Europe,2,Europe,20260727,Uncertainty_gated_fusion,0.7878248974008208,0.8063432283705269,0.4314114278082342,0.6857045143638851,0.4302325581395348,0.9411764705882352,0.1965289855598736,0.5720999385883234
PONE2016_h2_target_Europe,2,Europe,20260727,Full_random_search,0.7883720930232558,0.7664404580031265,0.4388466419635192,0.6971956224350205,0.4767441860465116,0.9176470588235294,0.1989969409655445,0.5879868721124674
PONE2016_h2_target_Europe,2,Europe,20260727,Balanced_logistic,0.8034199726402189,0.7869736092025974,0.4513972721892684,0.6973324213406292,0.4534883720930232,0.9411764705882352,0.1842761516432651,0.6119615702880244
PONE2016_h2_target_North_America,2,North America,20260727,HistGB,0.8588640275387264,0.8572195571594456,0.4869825130371185,0.7427567412507171,0.7023809523809523,0.7831325301204819,0.1666717408440504,0.5075168862349643
PONE2016_h2_target_North_America,2,North America,20260727,KELM_PBMSBAINGO,0.8587205966724039,0.8172701525102921,0.2582545181528334,0.5889988525530694,0.2261904761904762,0.9518072289156626,0.1645681437865216,0.4956573507313623
PONE2016_h2_target_North_America,2,North America,20260727,KELM_score_fusion,0.8587205966724039,0.8172701525102921,0.2582545181528334,0.5889988525530694,0.2261904761904762,0.9518072289156626,0.1643774798067076,0.4950001222573891
PONE2016_h2_target_North_America,2,North America,20260727,KELM_risk_feature,0.8578600114744692,0.8815502956824379,0.5113767730447555,0.7200946643717728,0.4642857142857143,0.9759036144578314,0.1505585168205483,0.5121315190840847
PONE2016_h2_target_North_America,2,North America,20260727,Full_PBMSBAINGO,0.8690476190476191,0.8614073842050292,0.5422215370652378,0.7669965576592083,0.6785714285714286,0.8554216867469879,0.147958991016064,0.4585750740134369
PONE2016_h2_target_North_America,2,North America,20260727,Uncertainty_gated_fusion,0.8578600114744692,0.8815502956824379,0.5113767730447555,0.7200946643717728,0.4642857142857143,0.9759036144578314,0.1505585168205483,0.5121315190840847
PONE2016_h2_target_North_America,2,North America,20260727,Full_random_search,0.877653471026965,0.8830771991262653,0.4240633960069448,0.6606425702811245,0.3333333333333333,0.9879518072289156,0.1499059954674418,0.4557826628497629
PONE2016_h2_target_North_America,2,North America,20260727,Balanced_logistic,0.8073723465289729,0.8534941456966716,0.4841527384287163,0.731425702811245,0.5833333333333334,0.8795180722891566,0.1786813389158996,0.5959567668017041
PONE2016_h3_target_Asia,3,Asia,20260727,HistGB,0.833648393194707,0.8355040774194233,0.4369259473273602,0.7065217391304348,0.5434782608695652,0.8695652173913043,0.1763889987783558,0.5364223499824375
PONE2016_h3_target_Asia,3,Asia,20260727,KELM_PBMSBAINGO,0.8804347826086956,0.8642062102796939,0.6753508114729635,0.8369565217391304,0.8695652173913043,0.8043478260869565,0.1705421195209216,0.5187753196801881
PONE2016_h3_target_Asia,3,Asia,20260727,KELM_score_fusion,0.8804347826086956,0.8642062102796939,0.6753508114729635,0.8369565217391304,0.8695652173913043,0.8043478260869565,0.1701818285780915,0.5169288890281392
PONE2016_h3_target_Asia,3,Asia,20260727,KELM_risk_feature,0.91351606805293,0.9198378134514024,0.6236095644623236,0.8043478260869565,0.6956521739130435,0.9130434782608696,0.1551798278292079,0.4772879659991939
PONE2016_h3_target_Asia,3,Asia,20260727,Full_PBMSBAINGO,0.8653119092627599,0.8465786584069314,0.5262348115842176,0.7608695652173914,0.6956521739130435,0.8260869565217391,0.1535135812315557,0.4778647691882906
PONE2016_h3_target_Asia,3,Asia,20260727,Uncertainty_gated_fusion,0.91351606805293,0.9198378134514024,0.6236095644623236,0.8043478260869565,0.6956521739130435,0.9130434782608696,0.1551798278292079,0.4772879659991939
PONE2016_h3_target_Asia,3,Asia,20260727,Full_random_search,0.8369565217391305,0.8410091271223659,0.4305966286443697,0.7065217391304348,0.5652173913043478,0.8478260869565217,0.1764749927471061,0.5363433091179304
PONE2016_h3_target_Asia,3,Asia,20260727,Balanced_logistic,0.8563327032136107,0.8712030268600253,0.5597170785495562,0.7717391304347826,0.8913043478260869,0.6521739130434783,0.1955782765100358,0.5775951833113209
PONE2016_h3_target_Europe,3,Europe,20260727,HistGB,0.7042915931804822,0.6782673122876944,0.2240249365093635,0.5875220458553791,0.2738095238095238,0.9012345679012346,0.225475287988643,0.6429027879985254
PONE2016_h3_target_Europe,3,Europe,20260727,KELM_PBMSBAINGO,0.682392710170488,0.7139442448148506,0.2310726156379586,0.6137566137566137,0.5238095238095238,0.7037037037037037,0.2552435220872724,0.7373760897679176
PONE2016_h3_target_Europe,3,Europe,20260727,KELM_score_fusion,0.682392710170488,0.7139442448148506,0.2310726156379586,0.6137566137566137,0.5238095238095238,0.7037037037037037,0.255731981328806,0.736096794800908
PONE2016_h3_target_Europe,3,Europe,20260727,KELM_risk_feature,0.708259847148736,0.7168302617058938,0.2520233164512753,0.6208112874779541,0.4761904761904761,0.7654320987654321,0.227752803950951,0.6476129419234462
PONE2016_h3_target_Europe,3,Europe,20260727,Full_PBMSBAINGO,0.7078189300411523,0.6906460538365762,0.2182178902359923,0.5873015873015872,0.2857142857142857,0.8888888888888888,0.2252938717494298,0.6424853750025734
PONE2016_h3_target_Europe,3,Europe,20260727,Uncertainty_gated_fusion,0.708259847148736,0.7168302617058938,0.2520233164512753,0.6208112874779541,0.4761904761904761,0.7654320987654321,0.227752803950951,0.6476129419234462
PONE2016_h3_target_Europe,3,Europe,20260727,Full_random_search,0.6929747207524987,0.6786460742390332,0.2182178902359923,0.5873015873015872,0.2857142857142857,0.8888888888888888,0.2259982590790655,0.6443804479390158
PONE2016_h3_target_Europe,3,Europe,20260727,Balanced_logistic,0.7091416813639035,0.7118554167414453,0.3353540843402062,0.652336860670194,0.4404761904761904,0.8641975308641975,0.2157679125424065,0.6611578058351401
PONE2016_h3_target_North_America,3,North America,20260727,HistGB,0.7581513137068693,0.7425057484630788,0.2802966691779787,0.6096866096866097,0.2962962962962963,0.9230769230769232,0.2081986360141605,0.6053359530164972
PONE2016_h3_target_North_America,3,North America,20260727,KELM_PBMSBAINGO,0.7562519784742008,0.767370811659934,0.2712028228247315,0.5859449192782527,0.1975308641975308,0.9743589743589745,0.2393843194761679,0.7535950957469835
PONE2016_h3_target_North_America,3,North America,20260727,KELM_score_fusion,0.7673314339981007,0.7736579804530473,0.2963530403349558,0.5982905982905983,0.2222222222222222,0.9743589743589745,0.2103665846995516,0.6159088138393632
PONE2016_h3_target_North_America,3,North America,20260727,KELM_risk_feature,0.775403608736942,0.8079473451878776,0.4132285650013326,0.6778252611585944,0.419753086419753,0.935897435897436,0.1936878993547314,0.5774623758550703
PONE2016_h3_target_North_America,3,North America,20260727,Full_PBMSBAINGO,0.7617917062361507,0.717973548491067,0.1787975391881586,0.5716999050332383,0.2716049382716049,0.8717948717948718,0.2045173733796154,0.5967186311608415
PONE2016_h3_target_North_America,3,North America,20260727,Uncertainty_gated_fusion,0.775403608736942,0.8079473451878776,0.4132285650013326,0.6778252611585944,0.419753086419753,0.935897435897436,0.1936878993547314,0.5774623758550703
PONE2016_h3_target_North_America,3,North America,20260727,Full_random_search,0.7856916745805634,0.8058523913869942,0.3545920927802393,0.6350902184235517,0.3086419753086419,0.9615384615384616,0.1938071025993491,0.573786580717967
PONE2016_h3_target_North_America,3,North America,20260727,Balanced_logistic,0.7757201646090535,0.8210429428354262,0.4167300599845326,0.6837606837606838,0.4444444444444444,0.9230769230769232,0.2020315582146705,0.5888620021054498
PONE2016_h1_target_Asia,1,Asia,20260728,HistGB,0.9396701388888888,0.9494823313405836,0.6460415830634638,0.8020833333333333,0.625,0.9791666666666666,0.1031382988368946,0.3404948699175872
PONE2016_h1_target_Asia,1,Asia,20260728,KELM_PBMSBAINGO,0.9296875,0.9340628862713302,0.7108057085060271,0.8541666666666667,0.8125,0.8958333333333334,0.1231617273948108,0.3868985755889241
PONE2016_h1_target_Asia,1,Asia,20260728,KELM_score_fusion,0.9383680555555556,0.9421407943646816,0.6629126073623883,0.8125,0.6458333333333334,0.9791666666666666,0.1027698013180187,0.3391242147036413
PONE2016_h1_target_Asia,1,Asia,20260728,KELM_risk_feature,0.9153645833333334,0.9234571352373264,0.6629126073623883,0.8125,0.6458333333333334,0.9791666666666666,0.1017526485054727,0.3444904527881706
PONE2016_h1_target_Asia,1,Asia,20260728,Full_PBMSBAINGO,0.947048611111111,0.9539200062727696,0.7491023793272164,0.8645833333333333,0.75,0.9791666666666666,0.1015450841614266,0.3341550087270354
PONE2016_h1_target_Asia,1,Asia,20260728,Uncertainty_gated_fusion,0.9153645833333334,0.9234571352373264,0.6629126073623883,0.8125,0.6458333333333334,0.9791666666666666,0.1017526485054727,0.3444904527881706
PONE2016_h1_target_Asia,1,Asia,20260728,Full_random_search,0.9288194444444444,0.9384412089944528,0.6798834181250946,0.8229166666666666,0.6666666666666666,0.9791666666666666,0.1006445095214769,0.3366555835107195
PONE2016_h1_target_Asia,1,Asia,20260728,Balanced_logistic,0.9440104166666666,0.9543744904577072,0.6798834181250946,0.8229166666666666,0.6666666666666666,0.9791666666666666,0.1023206683367922,0.3235760106814021
PONE2016_h1_target_Europe,1,Europe,20260728,HistGB,0.8808481532147743,0.8607584204467822,0.5493412588939887,0.7611491108071136,0.6046511627906976,0.9176470588235294,0.1498404627628348,0.4779763713993825
PONE2016_h1_target_Europe,1,Europe,20260728,KELM_PBMSBAINGO,0.8485636114911081,0.8505126823785114,0.4961749794325203,0.7376880984952121,0.5930232558139535,0.8823529411764706,0.1607429735620761,0.4935038920163559
PONE2016_h1_target_Europe,1,Europe,20260728,KELM_score_fusion,0.8811217510259918,0.8624283249067024,0.5393194499637521,0.7553351573187415,0.5930232558139535,0.9176470588235294,0.1497287322229989,0.4775056785477224
PONE2016_h1_target_Europe,1,Europe,20260728,KELM_risk_feature,0.8086183310533516,0.7838485586318915,0.2869221675167705,0.6326949384404925,0.4418604651162791,0.8235294117647058,0.1943156203578778,0.5772719970951727
PONE2016_h1_target_Europe,1,Europe,20260728,Full_PBMSBAINGO,0.8763337893296854,0.848325824647771,0.5375591305759228,0.7609439124487004,0.6395348837209303,0.8823529411764706,0.144885476793251,0.4676906196062861
PONE2016_h1_target_Europe,1,Europe,20260728,Uncertainty_gated_fusion,0.8086183310533516,0.7838485586318915,0.2869221675167705,0.6326949384404925,0.4418604651162791,0.8235294117647058,0.1943156203578778,0.5772719970951727
PONE2016_h1_target_Europe,1,Europe,20260728,Full_random_search,0.892202462380301,0.8630463922164903,0.555161681953326,0.7668946648426813,0.627906976744186,0.9058823529411764,0.1481087795283626,0.4720768187231339
PONE2016_h1_target_Europe,1,Europe,20260728,Balanced_logistic,0.8859097127222983,0.8789238152502963,0.5035262172575005,0.7149794801641587,0.4534883720930232,0.976470588235294,0.1335267507778348,0.4849476302041786
PONE2016_h1_target_North_America,1,North America,20260728,HistGB,0.9073871409028728,0.9192924561283295,0.6397337567110021,0.8189466484268126,0.7790697674418605,0.8588235294117647,0.1380057893140534,0.4358467176219614
PONE2016_h1_target_North_America,1,North America,20260728,KELM_PBMSBAINGO,0.8945280437756498,0.903149919904382,0.7021204835611884,0.8427496580027359,0.7325581395348837,0.9529411764705882,0.1286156131700346,0.4158891090530506
PONE2016_h1_target_North_America,1,North America,20260728,KELM_score_fusion,0.9095759233926128,0.9262354517386804,0.6508581271053144,0.8247606019151846,0.7906976744186046,0.8588235294117647,0.1355002703108796,0.427006349904778
PONE2016_h1_target_North_America,1,North America,20260728,KELM_risk_feature,0.90437756497948,0.9060073764566418,0.6240773772400326,0.8075239398084815,0.7209302325581395,0.8941176470588236,0.1271947575947865,0.393147689574599
PONE2016_h1_target_North_America,1,North America,20260728,Full_PBMSBAINGO,0.8975376196990424,0.9125920697883124,0.6286780888114203,0.8131326949384405,0.7674418604651163,0.8588235294117647,0.1355995665533514,0.4277062217324351
PONE2016_h1_target_North_America,1,North America,20260728,Uncertainty_gated_fusion,0.8975376196990424,0.9125920697883124,0.6286780888114203,0.8131326949384405,0.7674418604651163,0.8588235294117647,0.1355995665533514,0.4277062217324351
PONE2016_h1_target_North_America,1,North America,20260728,Full_random_search,0.905061559507524,0.9207324115991932,0.5309213757528974,0.7266757865937072,0.4651162790697674,0.9882352941176472,0.136195504196884,0.4299505406530891
PONE2016_h1_target_North_America,1,North America,20260728,Balanced_logistic,0.8811217510259918,0.9134370704739888,0.6628442637111425,0.8138166894664842,0.6511627906976745,0.976470588235294,0.1361765994251453,0.4761766750967566
PONE2016_h2_target_Asia,2,Asia,20260728,HistGB,0.8546006944444444,0.8322420966926936,0.5843389347222367,0.78125,0.6458333333333334,0.9166666666666666,0.1657008508261986,0.5129137304205235
PONE2016_h2_target_Asia,2,Asia,20260728,KELM_PBMSBAINGO,0.8585069444444444,0.8526852399167815,0.476412221977579,0.71875,0.5208333333333334,0.9166666666666666,0.1710875157504346,0.5226523204332412
PONE2016_h2_target_Asia,2,Asia,20260728,KELM_score_fusion,0.8585069444444444,0.8526852399167815,0.476412221977579,0.71875,0.5208333333333334,0.9166666666666666,0.1709765964485042,0.5227190392790121
PONE2016_h2_target_Asia,2,Asia,20260728,KELM_risk_feature,0.8684895833333334,0.8752815770240917,0.5482930791331408,0.7604166666666666,0.6041666666666666,0.9166666666666666,0.1542911081877728,0.4864958499045722
PONE2016_h2_target_Asia,2,Asia,20260728,Full_PBMSBAINGO,0.8606770833333334,0.8368547596637027,0.5662888944297417,0.7708333333333333,0.625,0.9166666666666666,0.1611219771055777,0.5024182342137835
