dataset,seed,method,optimizer,evals,val_loss,val_triad,val_ap,C,gamma,cost_pos,blend_alpha,selected_feature_count,selected_features,model_seed,horizon,target_region,gate_selected,gate_utility_simple,gate_utility_fused,gate_difference,gate_standard_error,gate_required_margin
PONE2016_h1_target_Asia,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.18699808400193857,0.8220941129229759,0.9069901180497439,4748.069915758315,0.036009741175617754,1.0804843312192467,-1.0,4.0,"[5, 8, 9, 10]",20260830,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.05,,"[5, 8, 9, 10]",20260729,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260729,KELM_risk_feature,PBMSBAINGO,81,0.18823935210309783,0.8220941129229759,0.8919542170247245,16.421235686034468,0.15070202012798492,0.9402708636051591,-1.0,5.0,"[1, 3, 5, 10, 11]",20260940,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.2061747712478989,0.8021505904755111,0.8722897134149121,0.41721032096783317,0.0083970439229491,1.7739429284898744,0.05,4.0,"[1, 5, 10, 11]",20261036,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,1,Asia,KELM_risk_feature,0.54443971361459,0.5404336172077868,-0.004006096406803161,0.022310163739586,0.022310163739586
PONE2016_h1_target_Asia,20260729,Full_random_search,Random,81,0.18965385059813686,0.8214353658948051,0.8539230904005601,26.5263462070774,0.08679117443927381,0.1437792647306108,0.7,5.0,"[4, 5, 6, 9, 11]",20261130,1,Asia,,,,,,
PONE2016_h1_target_Europe,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.11757992416737513,0.8995465268881894,0.9534299867894189,129.26800175764473,0.1003340295666686,0.446644634560116,-1.0,8.0,"[1, 2, 3, 4, 5, 6, 8, 9]",20260830,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.02,,"[1, 2, 3, 4, 5, 6, 8, 9]",20260729,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260729,KELM_risk_feature,PBMSBAINGO,81,0.1391823752090785,0.8746437993905218,0.9416369910765447,0.2340768071813047,0.9382557159048398,0.7661039723641042,-1.0,7.0,"[3, 5, 6, 8, 9, 10, 11]",20260940,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.1336478635626978,0.8746437993905218,0.9496336102600673,0.2184807300438996,2.4229752881458184,3.426882312275421,0.7,4.0,"[3, 4, 9, 11]",20261036,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,1,Europe,KELM_risk_feature,0.5694436099177594,0.5694436099177594,0.0,0.06128721248700007,0.06128721248700007
PONE2016_h1_target_Europe,20260729,Full_random_search,Random,81,0.13362463834547617,0.8746437993905218,0.9519561319822307,1.4662815839862766,1.077650841615052,48.18576204195972,0.5,4.0,"[3, 5, 8, 11]",20261130,1,Europe,,,,,,
PONE2016_h1_target_North_America,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.171182825018191,0.8497209501706778,0.9321619366045437,796.5098790003699,0.08280327126364882,0.19289087301885924,-1.0,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",20260830,1,North America,,,,,,
PONE2016_h1_target_North_America,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.0,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",20260729,1,North America,,,,,,
PONE2016_h1_target_North_America,20260729,KELM_risk_feature,PBMSBAINGO,81,0.13552892265544272,0.8746437993905218,0.9433458828037575,3807.9064564300247,4.60606010358048,0.18741375471029595,-1.0,5.0,"[5, 7, 9, 10, 11]",20260940,1,North America,,,,,,
PONE2016_h1_target_North_America,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.15700910483606303,0.8519190444343996,0.9468593607183808,36.680707392121704,5.608507728392386,3.563135707734142,0.5,5.0,"[3, 4, 7, 9, 11]",20261036,1,North America,,,,,,
PONE2016_h1_target_North_America,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,1,North America,KELM_risk_feature,0.5694436099177594,0.6098343857709155,0.04039077585315609,0.04383636629019697,0.04383636629019697
PONE2016_h1_target_North_America,20260729,Full_random_search,Random,81,0.17939983392506526,0.8271349088932628,0.9445155725956071,0.5903963548283546,0.8625138026857319,2.172465485714882,0.1,4.0,"[2, 4, 10, 11]",20261130,1,North America,,,,,,
PONE2016_h2_target_Asia,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.15054344124670174,0.8625458691379844,0.9132040560828056,108.07331819688565,0.04427850370293779,1.1980487429691382,-1.0,6.0,"[1, 4, 5, 6, 9, 10]",20260830,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.0,,"[1, 4, 5, 6, 9, 10]",20260729,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260729,KELM_risk_feature,PBMSBAINGO,81,0.14908054797013634,0.8637570403797823,0.9383161188545609,0.5310126833718266,0.01819101828829774,5.725939138997644,-1.0,7.0,"[1, 5, 6, 8, 9, 10, 11]",20260940,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.12985888027035702,0.8821719334403352,0.9320219454259189,29.577588939757387,0.4358875315120939,1.999079138870175,0.7,6.0,"[1, 2, 3, 4, 7, 11]",20261036,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,2,Asia,KELM_risk_feature,0.6209968658018885,0.5902215660054928,-0.030775299796395705,0.032957807904102264,0.032957807904102264
PONE2016_h2_target_Asia,20260729,Full_random_search,Random,81,0.16688205843983495,0.8428715638578093,0.9250989462392456,26.5263462070774,0.08679117443927381,0.1437792647306108,0.7,5.0,"[4, 5, 6, 9, 11]",20261130,2,Asia,,,,,,
PONE2016_h2_target_Europe,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.20649008944720684,0.8021901472754903,0.9292167860520546,0.9314943642414111,0.0010439664056568591,5.191101653812497,-1.0,5.0,"[1, 5, 8, 9, 10]",20260830,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,1.0,,"[1, 5, 8, 9, 10]",20260729,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260729,KELM_risk_feature,PBMSBAINGO,81,0.1464395418250302,0.8746437993905218,0.9431930567541016,0.557435174961626,0.06738039132426728,0.5207309496488344,-1.0,11.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",20260940,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.1907317958410903,0.8247258399672106,0.8881110135800159,283.1249045128827,0.5438548049837663,0.7503725192834134,0.7,8.0,"[1, 2, 3, 4, 5, 6, 10, 11]",20261036,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,2,Europe,KELM_risk_feature,0.5694436099177594,0.5601603210872108,-0.00928328883054863,0.0274100993951181,0.0274100993951181
PONE2016_h2_target_Europe,20260729,Full_random_search,Random,81,0.2526597125855945,0.7516016412930088,0.9091657671367814,2.5772847726765287,0.17882154810238898,0.1023140428197496,0.7,4.0,"[1, 8, 10, 11]",20261130,2,Europe,,,,,,
PONE2016_h2_target_North_America,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.18851569508053503,0.8229708730846101,0.892623964685352,24.26162126230332,0.4123827278468767,1.294282557793367,-1.0,5.0,"[1, 3, 4, 8, 9]",20260830,2,North America,,,,,,
PONE2016_h2_target_North_America,20260729,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.3,,"[1, 3, 4, 8, 9]",20260729,2,North America,,,,,,
PONE2016_h2_target_North_America,20260729,KELM_risk_feature,PBMSBAINGO,81,0.16071428967180698,0.8497209501706778,0.8881063803338538,286.0232912039453,0.3638304951832141,0.21277545175473653,-1.0,5.0,"[2, 5, 7, 9, 11]",20260940,2,North America,,,,,,
PONE2016_h2_target_North_America,20260729,Full_PBMSBAINGO,PBMSBAINGO,81,0.2700651174854442,0.7465789455874019,0.8399881106359164,1980.8137358319846,0.26790046195719575,1.597948480015492,0.7,9.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11]",20261036,2,North America,,,,,,
PONE2016_h2_target_North_America,20260729,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260729,2,North America,KELM_risk_feature,0.564751924551495,0.5010851949322391,-0.0636667296192559,0.07335794015239665,0.07335794015239665
PONE2016_h2_target_North_America,20260729,Full_random_search,Random,81,0.30951268653629455,0.6966950706953473,0.8325540129416116,26.5263462070774,0.08679117443927381,0.1437792647306108,0.7,5.0,"[4, 5, 6, 9, 11]",20261130,2,North America,,,,,,
PONE2016_h3_target_Asia,20260729,KELM_PBMSBAINGO,PBMSBAINGO,81,0.2646196885889127,0.7490582433525212,0.799304613559296,8.97832625861299,0.34151566851864223,0.7161551102687971,-1.0,6.0,"[1, 2, 3, 4, 5, 9]",20260830,3,Asia,,,,,,
