dataset,seed,method,policy,test_n,test_positive,threshold,design,selection_note,calibration,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc,brier,log_loss,ece_10,calibration_intercept,calibration_slope,relative_cost_ratio,cost_per_observation,normalized_cost,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,precision_ci_low,precision_ci_high,f2_ci_low,f2_ci_high,mcc_ci_low,mcc_ci_high,triad_score_ci_low,triad_score_ci_high,ap_ci_low,ap_ci_high,auc_ci_low,auc_ci_high,brier_ci_low,brier_ci_high,model_seed,horizon,target_region,source_n,target_n,feature_set
PONE2016_h1_target_Asia,20260730,HistGB,triad,96,48,0.912513662804852,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.7822909731466078,0.625,0.9791666666666666,0.967741935483871,0.759493670886076,0.872093023255814,0.672645739910314,0.6460415830634638,0.7339486965277799,0.8020833333333333,0.020833333333333332,0.3229166666666667,30.0,1.0,47.0,18.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,,,,0.42708333333333337,0.7270833333333333,0.9604166666666667,1.0,0.9285714285714286,1.0,0.4796128368383819,0.7687224669603524,0.48416651615621586,0.7531479603086607,0.5865002926240527,0.8175504818327078,0.9296877285772316,0.9870092743216209,0.9189670138888889,0.9850694444444444,0.05888353469867413,0.12036040175705937,20260730,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,HistGB,cost_1,96,48,0.6967375898246699,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.10416666666666667,0.46875,40.0,5.0,43.0,8.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,1.0,0.13541666666666666,0.13541666666666666,0.75625,0.89375,0.8375,0.9333333333333333,0.8454901960784313,0.9293617021276596,0.7775574509697397,0.8859457206855237,0.6564158666433789,0.8097824875042262,0.7626317022256083,0.8712181243733524,0.9318363572102728,0.9679567389551975,0.9108940972222223,0.9552517361111111,0.07782338464830219,0.13549918572752312,20260730,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,HistGB,cost_2,96,48,0.6967375898246699,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.8640183897219884,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8602150537634409,0.8771929824561403,0.8438818565400844,0.7305950062660077,0.8170354314983949,0.8645833333333334,0.10416666666666667,0.46875,40.0,5.0,43.0,8.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,2.0,0.21875,0.14583333333333334,0.7583333333333333,0.89375,0.8375,0.9354166666666667,0.8241187384044527,0.931304347826087,0.7708288636201102,0.8915121592520616,0.5998919669310679,0.8119178979113132,0.7253971399709692,0.8726479140530001,0.9155996804231553,0.979310231619143,0.8977430555555556,0.9758246527777777,0.07404353264610652,0.14247109008953093,20260730,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,HistGB,cost_5,96,48,0.09839109526294543,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.48653363279984113,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,5.0,0.40625,0.13541666666666666,0.8979166666666667,0.9770833333333333,0.5208333333333334,0.6020833333333333,0.6581876332622602,0.7051770451770452,0.8437656143538497,0.896746071821071,0.47921396306007,0.5975951597278668,0.6134991160891429,0.6991565207649589,0.9547955920024785,0.9704812586136625,0.9419270833333333,0.9677083333333334,0.07232106408345139,0.10000519882177886,20260730,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,HistGB,cost_10,96,48,0.09839109526294543,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.48653363279984113,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,10.0,0.5625,0.10227272727272728,0.8979166666666667,0.9791666666666666,0.3395833333333333,0.58125,0.5951652601969057,0.6874067164179104,0.8188920454545455,0.8929855983087922,0.34403997591533986,0.5650336226814662,0.4943288024915641,0.6720024251397224,0.9282756604509789,0.9840499525467359,0.90234375,0.9792534722222223,0.06651804658328632,0.15055525358915028,20260730,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,HistGB,cost_20,96,48,0.09839109526294543,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",No metaheuristic; threshold and Platt calibration use calibration partition.,Platt_logistic_on_separate_calibration_partition,0.6846531968814576,0.9375,0.5,0.6521739130434783,0.7692307692307693,0.6944444444444444,0.8620689655172413,0.48653363279984113,0.6109674162707742,0.71875,0.5,0.71875,45.0,24.0,24.0,3.0,0.9494823313405836,0.9396701388888888,0.10313829883689467,0.3404948699175872,0.10136757739892482,0.011800200139581224,1.034502923305926,20.0,0.875,0.08333333333333333,0.9375,0.9791666666666666,0.3770833333333333,0.5375,0.6013333333333333,0.6792406613594612,0.8439782970906139,0.8996984397535073,0.3830039993160169,0.5758779914196042,0.5138308126048569,0.6716867478617491,0.950665244333251,0.9847565133352986,0.9364583333333333,0.9784722222222222,0.05314735073249881,0.10643293452920961,20260730,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,KELM_PBMSBAINGO,triad,96,48,0.8857667493442802,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.67700320038633,0.4583333333333333,1.0,1.0,0.6285714285714286,0.8088235294117647,0.514018691588785,0.5452497568062706,0.6298816763894876,0.7291666666666666,0.0,0.22916666666666666,22.0,0.0,48.0,26.0,0.9296504947288327,0.9066840277777777,0.13458899828468776,0.41592804953981294,0.1172555843736454,-0.5825578865584018,1.3293394593972527,,,,0.39791666666666664,0.49583333333333335,1.0,1.0,1.0,1.0,0.4523830814629348,0.5514018691588786,0.4983672903059395,0.5741402179512902,0.583138367236701,0.657799136113977,0.9050415288839914,0.9496417573381806,0.8746961805555556,0.9257378472222222,0.1109764063030645,0.15674794050647564,20260831,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,KELM_PBMSBAINGO,cost_1,96,48,0.24829927875720195,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.5994789404140899,0.9583333333333334,0.375,0.6052631578947368,0.7419354838709677,0.6534090909090909,0.8582089552238806,0.41039134083406165,0.5283422608165946,0.6666666666666667,0.625,0.7916666666666666,46.0,30.0,18.0,2.0,0.9296504947288327,0.9066840277777777,0.13458899828468776,0.41592804953981294,0.1172555843736454,-0.5825578865584018,1.3293394593972527,1.0,0.3333333333333333,0.3333333333333333,0.91875,0.9583333333333334,0.3145833333333333,0.45416666666666666,0.5792804796802132,0.6325846973734298,0.8227611940298508,0.8637468195202836,0.3124877617083398,0.4504906708409927,0.45664624002720894,0.5770752328697455,0.9050970875710721,0.9337036418976713,0.8609375000000001,0.9128472222222221,0.12597925369682766,0.16913416276755602,20260831,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,KELM_PBMSBAINGO,cost_2,96,48,0.24829927875720195,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.5994789404140899,0.9583333333333334,0.375,0.6052631578947368,0.7419354838709677,0.6534090909090909,0.8582089552238806,0.41039134083406165,0.5283422608165946,0.6666666666666667,0.625,0.7916666666666666,46.0,30.0,18.0,2.0,0.9296504947288327,0.9066840277777777,0.13458899828468776,0.41592804953981294,0.1172555843736454,-0.5825578865584018,1.3293394593972527,2.0,0.3541666666666667,0.2361111111111111,0.91875,0.9583333333333334,0.28125,0.45416666666666666,0.5713850837138508,0.6325846973734298,0.831418895569839,0.8640163842441926,0.32062592806413076,0.4504906708409927,0.44187880691391834,0.5770752328697455,0.8985869032215444,0.9411126813520841,0.8657552083333333,0.9166232638888888,0.12141709075337159,0.16615159487850872,20260831,1,Asia,342,96,V1-V10_financial_only
PONE2016_h1_target_Asia,20260730,KELM_PBMSBAINGO,cost_5,96,48,0.24829927875720195,"Same-horizon leave-one-region-out transfer; source regions=Europe,North America; target region=Asia; source-only fit/search/calibration; target labels untouched until final evaluation; V1-V10 financial ratios only.",Plain KELM; hyperparameters/features selected only on search partition.,Platt_logistic_on_separate_calibration_partition,0.5994789404140899,0.9583333333333334,0.375,0.6052631578947368,0.7419354838709677,0.6534090909090909,0.8582089552238806,0.41039134083406165,0.5283422608165946,0.6666666666666667,0.625,0.7916666666666666,46.0,30.0,18.0,2.0,0.9296504947288327,0.9066840277777777,0.13458899828468776,0.41592804953981294,0.1172555843736454,-0.5825578865584018,1.3293394593972527,5.0,0.4166666666666667,0.1388888888888889,0.9208333333333333,0.9791666666666666,0.27291666666666664,0.4354166666666667,0.5592905141428348,0.6297899543378995,0.8167078923536488,0.8789272842908629,0.2583232519759474,0.4772485550640401,0.401629477901181,0.5801207788937702,0.8884203745867743,0.9504582537877657,0.8377604166666667,0.9371527777777778,0.1118095210864531,0.19009401780608529,20260831,1,Asia,342,96,V1-V10_financial_only
