dataset,seed,method,optimizer,evals,val_loss,val_triad,val_ap,C,gamma,cost_pos,blend_alpha,selected_feature_count,selected_features,model_seed,horizon,target_region,gate_selected,gate_utility_simple,gate_utility_fused,gate_difference,gate_standard_error,gate_required_margin
PONE2016_h1_target_Asia,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.19583972315044235,0.8220941129229759,0.8228262031993667,33.88724702336374,0.004850362359525732,2.338651618110871,-1.0,8.0,"[1, 2, 4, 5, 7, 8, 9, 10]",20260828,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.05,,"[1, 2, 4, 5, 7, 8, 9, 10]",20260727,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,KELM_risk_feature,PBMSBAINGO,81,0.1742415209924545,0.841957880084714,0.8803262889000198,83.49674191762757,0.0010967909889553343,6.893754924238708,-1.0,8.0,"[1, 4, 5, 6, 7, 9, 10, 11]",20260938,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.2121269554656881,0.8009439981914989,0.8304459661598667,7.0737994011199605,0.04964045709017458,0.9764533693298801,0.7,6.0,"[1, 2, 3, 5, 6, 11]",20261034,1,Asia,,,,,,
PONE2016_h1_target_Asia,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,1,Asia,KELM_risk_feature,0.5484731795295299,0.4539664536990124,-0.0945067258305175,0.05835342788487005,0.05835342788487005
PONE2016_h1_target_Asia,20260727,Full_random_search,Random,81,0.19210114197217984,0.8211140405492559,0.8356779619767127,4.1141406917749395,0.0003708287454502085,1.1345381532948013,0.7,6.0,"[3, 4, 6, 9, 10, 11]",20261128,1,Asia,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.1315316722574814,0.8765931394021036,0.9644971252928387,4.154159081699606,0.139251420133867,2.0100149310732762,-1.0,4.0,"[5, 7, 8, 9]",20260828,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,1.0,,"[5, 7, 8, 9]",20260727,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,KELM_risk_feature,PBMSBAINGO,81,0.16751931122229208,0.8497209501706778,0.9348769525580725,1.4946304068973773,0.012241425788933315,0.809154565916967,-1.0,9.0,"[1, 2, 3, 4, 5, 7, 8, 9, 11]",20260938,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.16222969685304098,0.8519190444343996,0.9702547044751344,92.28672354636292,0.0005563594093794484,2.1086692625219787,0.7,8.0,"[1, 3, 4, 6, 7, 8, 9, 11]",20261034,1,Europe,,,,,,
PONE2016_h1_target_Europe,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,0.7,,[],20260727,1,Europe,Full_PBMSBAINGO,0.564751924551495,0.6098343857709155,0.0450824612194205,0.035297035897396516,0.035297035897396516
PONE2016_h1_target_Europe,20260727,Full_random_search,Random,81,0.15495368657814304,0.8519190444343996,0.9705830046921997,4309.747885066898,2.0541686174605966,6.250861144618664,0.5,4.0,"[2, 5, 8, 11]",20261128,1,Europe,,,,,,
PONE2016_h1_target_North_America,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.16359932147865786,0.8497209501706778,0.89051229055786,176.3387074496125,0.0018757448780712344,11.955745074538228,-1.0,6.0,"[3, 4, 5, 6, 9, 10]",20260828,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.05,,"[3, 4, 5, 6, 9, 10]",20260727,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,KELM_risk_feature,PBMSBAINGO,81,0.20980450346052207,0.7996050708746525,0.8900602775134443,34.95313175376835,0.04783036114401873,0.22989676321795388,-1.0,5.0,"[1, 2, 5, 10, 11]",20260938,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.17944583806503392,0.8271349088932628,0.93991515859874,0.01,0.5499996344509862,0.6211102732661996,0.3,4.0,"[1, 5, 10, 11]",20261034,1,North America,,,,,,
PONE2016_h1_target_North_America,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,1,North America,KELM_risk_feature,0.5556108221320881,0.605701705680214,0.05009088354812585,0.055574262490719444,0.055574262490719444
PONE2016_h1_target_North_America,20260727,Full_random_search,Random,81,0.18126401988321575,0.8271349088932628,0.93991515859874,121.03733737983437,0.038370837873459136,0.11746336476674842,0.2,5.0,"[1, 4, 5, 10, 11]",20261128,1,North America,,,,,,
PONE2016_h2_target_Asia,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.15353100181932378,0.8636270091263551,0.9051180559049591,0.03956649402221772,0.29299790183816155,1.206836578434244,-1.0,8.0,"[1, 3, 4, 5, 6, 7, 9, 10]",20260828,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.0,,"[1, 3, 4, 5, 6, 7, 9, 10]",20260727,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260727,KELM_risk_feature,PBMSBAINGO,81,0.16586055608422087,0.8440274229735311,0.9105379541460938,7.531879252832807,0.07779499685664765,1.0645910741361688,-1.0,5.0,"[1, 4, 5, 8, 11]",20260938,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.15197752311237328,0.8636270091263551,0.9150113811454632,1521.5717938991652,0.44434828092139517,0.5598862291117533,0.7,8.0,"[1, 3, 4, 5, 7, 8, 9, 11]",20261034,2,Asia,,,,,,
PONE2016_h2_target_Asia,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,2,Asia,KELM_risk_feature,0.5903914905292067,0.5943434451159249,0.003951954586718154,0.012541278616597581,0.012541278616597581
PONE2016_h2_target_Asia,20260727,Full_random_search,Random,81,0.1657990665068161,0.8440274229735311,0.9166869118865695,1333.641717048994,0.12733333868235883,0.716552935332647,0.7,5.0,"[5, 6, 8, 10, 11]",20261128,2,Asia,,,,,,
PONE2016_h2_target_Europe,20260727,KELM_PBMSBAINGO,PBMSBAINGO,81,0.1636090270952264,0.8504788853304978,0.8375469437975718,1.0767927283394272,0.4249357883991954,1.5138128340416313,-1.0,6.0,"[1, 4, 5, 6, 7, 10]",20260828,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260727,KELM_score_fusion,reuses_plain_KELM,0,,,,,,,0.0,,"[1, 4, 5, 6, 7, 10]",20260727,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260727,KELM_risk_feature,PBMSBAINGO,81,0.15415570694797692,0.8529090762742736,0.9481470045930829,0.21941279848338072,0.07937296797007022,0.4943633453112481,-1.0,4.0,"[1, 4, 9, 11]",20260938,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260727,Full_PBMSBAINGO,PBMSBAINGO,81,0.2026263067228729,0.8033612350565811,0.9234902587083111,1.147447042648777,0.024800391815152412,0.6241186505118871,0.7,4.0,"[1, 4, 10, 11]",20261034,2,Europe,,,,,,
PONE2016_h2_target_Europe,20260727,Uncertainty_gated_fusion,architecture_gate,0,,,,,,,-1.0,,[],20260727,2,Europe,KELM_risk_feature,0.6190429001525279,0.6101995694859406,-0.008843330666587379,0.00808069487132012,0.00808069487132012
PONE2016_h2_target_Europe,20260727,Full_random_search,Random,81,0.2531951179446379,0.7528981880569946,0.9068681225336765,0.058423353989908174,0.009961956375152268,0.24326540828191326,0.7,5.0,"[1, 2, 4, 10, 11]",20261128,2,Europe,,,,,,
