method,metric,tasks,mean,sd
Balanced_logistic,auc,9,0.8419472529498326,0.0742105868209143
Balanced_logistic,ap,9,0.855971607776277,0.07389961976309596
Balanced_logistic,mcc,9,0.5269967900973261,0.11982337976824953
Balanced_logistic,balanced_accuracy,9,0.7456915891090568,0.06450080380265227
Balanced_logistic,brier,9,0.1741593258442002,0.0408680515716161
Balanced_logistic,log_loss,9,0.5500720288171217,0.10487793406324475
Balanced_logistic,ece_10,9,0.12358151079807239,0.0677219068722475
Balanced_logistic,calibration_intercept,9,-0.08591436226208458,0.5141272132700189
Balanced_logistic,calibration_slope,9,2.6974312818058426,4.771771809245481
Balanced_logistic,absolute_intercept,9,0.3840195528940939,0.3266892019067305
Balanced_logistic,absolute_slope_error,9,2.14108195354457,4.5666155248992695
Full_PBMSBAINGO,auc,9,0.8403617165645498,0.07285955497040816
Full_PBMSBAINGO,ap,9,0.8297149648533406,0.07687744752484951
Full_PBMSBAINGO,mcc,9,0.4770100267988577,0.1544022406268073
Full_PBMSBAINGO,balanced_accuracy,9,0.7235278839945543,0.08349918304004764
Full_PBMSBAINGO,brier,9,0.1647690696669547,0.03844493201436558
Full_PBMSBAINGO,log_loss,9,0.5029888957738464,0.09391689196015648
Full_PBMSBAINGO,ece_10,9,0.10180675520553323,0.015157612047247195
Full_PBMSBAINGO,calibration_intercept,9,-0.0401538147531689,0.24064790511918518
Full_PBMSBAINGO,calibration_slope,9,1.0167258254619522,0.29611054619277133
Full_PBMSBAINGO,absolute_intercept,9,0.1750391728409456,0.1589236708295539
Full_PBMSBAINGO,absolute_slope_error,9,0.22347026404970588,0.17836717517493825
Full_random_search,auc,9,0.8355038019541356,0.07668105727715294
Full_random_search,ap,9,0.8272378640626653,0.08316834397687876
Full_random_search,mcc,9,0.45195890487732915,0.16657880461924945
Full_random_search,balanced_accuracy,9,0.7082674153329663,0.08829068509987574
Full_random_search,brier,9,0.16615995277188972,0.039237530058298976
Full_random_search,log_loss,9,0.5051745819835467,0.0965627989936074
Full_random_search,ece_10,9,0.09464174492714379,0.010866841664372733
Full_random_search,calibration_intercept,9,-0.028665346690905386,0.21855557122428806
Full_random_search,calibration_slope,9,1.0393659982867842,0.3249638756801928
Full_random_search,absolute_intercept,9,0.15423664372485732,0.14808238425198064
Full_random_search,absolute_slope_error,9,0.23667637177794798,0.2105403630378891
HistGB,auc,9,0.8329053539531024,0.0774822000453228
HistGB,ap,9,0.8267998215825731,0.08563205157254511
HistGB,mcc,9,0.47567270652629534,0.14920381621548265
HistGB,balanced_accuracy,9,0.7230048279414016,0.08126639287038777
HistGB,brier,9,0.17072983258423735,0.03808144328541994
HistGB,log_loss,9,0.5169184936966462,0.09297550611552119
HistGB,ece_10,9,0.09095086854614037,0.018036654073053503
HistGB,calibration_intercept,9,-0.0283482380029227,0.20841267929923418
HistGB,calibration_slope,9,1.0498267799047822,0.3311595129588831
