dataset,seed,method,fit_n,validation_n,test_n,test_positive,threshold_policy,threshold,validation_threshold_utility,fit_seconds,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc
1year.arff,1,Balanced_logistic,2800,1230,2109,81,triad,0.627584247415859,0.40401240562179064,0.08507320000000007,0.6862135491168905,0.5432098765432098,0.8668639053254438,0.14012738853503184,0.22278481012658227,0.16454749439042632,0.3448275862068965,0.22138155710482274,0.4706376553773622,0.7050368909343268,0.13313609467455623,0.14888572783309625,44.0,270.0,1758.0,37.0,0.18011796050838091,0.7658156183797209
1year.arff,1,Random_forest,2800,1230,2109,81,triad,0.17151516588873258,0.5646400638691395,0.5694984999999999,0.7785757154199474,0.6666666666666666,0.9092702169625246,0.226890756302521,0.3385579937304075,0.26137463697967084,0.4804270462633452,0.3498049933584786,0.5963152333245844,0.7879684418145956,0.09072978303747535,0.11284969179706021,54.0,184.0,1844.0,27.0,0.3852958053378,0.8994143716365939
1year.arff,1,Extra_trees,2800,1230,2109,81,triad,0.24001563700907916,0.2986796153619927,0.30790149999999983,0.6751595780557778,0.5555555555555556,0.8205128205128205,0.1100244498777506,0.18367346938775508,0.13104251601630748,0.30695770804911315,0.18279200006664606,0.43677390506491043,0.688034188034188,0.1794871794871795,0.1939307728781413,45.0,364.0,1664.0,36.0,0.1727180866283366,0.7837619012832687
1year.arff,1,HistGB_fair,2800,1230,2109,81,triad,0.07312698632646436,0.691129312903839,3.4598801999999997,0.7741257675413981,0.6049382716049383,0.9906311637080868,0.7205882352941176,0.6577181208053691,0.6940509915014164,0.625,0.6479372192069001,0.7295448426091943,0.7977847176565125,0.009368836291913214,0.03224276908487435,49.0,19.0,2009.0,32.0,0.6905835565047866,0.9492658338812184
1year.arff,1,Balanced_forest_reference,2800,1230,2109,81,triad,0.5335903797468353,0.4512318213082087,0.3743320000000008,0.7189654989679688,0.5925925925925926,0.8722879684418146,0.1563517915309446,0.24742268041237112,0.18334606569900685,0.3803486529318542,0.25332105628807444,0.5078036252401156,0.7324402805172036,0.12771203155818542,0.14556661925082978,48.0,259.0,1769.0,33.0,0.2806253723761445,0.8376433632843889
1year.arff,1,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5148535155294655,0.5281155403813006,1.8672842999999997,0.699550589902236,0.5432098765432098,0.900887573964497,0.17959183673469387,0.26993865030674846,0.2073515551366635,0.3866432337434094,0.26634758818727455,0.5070245725828136,0.7220487252538534,0.09911242603550297,0.1161688003793267,44.0,201.0,1827.0,37.0,0.27663626146450737,0.8649341320281492
1year.arff,2,Balanced_logistic,2800,1230,2109,81,triad,0.6263749422242282,0.3894797367898558,0.0897193999999999,0.6548276713965513,0.5061728395061729,0.8471400394477318,0.1168091168091168,0.18981481481481483,0.13804713804713803,0.3037037037037037,0.18229424563834795,0.42757174886282606,0.6766564394769523,0.15285996055226825,0.16642958748221906,41.0,310.0,1718.0,40.0,0.11063195463621969,0.7529220542041054
1year.arff,2,Random_forest,2800,1230,2109,81,triad,0.16811604673556316,0.5805585591085544,0.6713201000000009,0.7568447252895099,0.6296296296296297,0.9097633136094675,0.21794871794871795,0.32380952380952377,0.25073746312684364,0.45698924731182794,0.3300450171684482,0.5739343954804431,0.7696964716195486,0.09023668639053255,0.11095305832147938,51.0,183.0,1845.0,30.0,0.35775415081682604,0.8631139357635085
1year.arff,2,Extra_trees,2800,1230,2109,81,triad,0.2590745692326913,0.3157216501900168,0.3166846000000003,0.6305989624961378,0.4691358024691358,0.8476331360946746,0.10951008645533142,0.17757009345794392,0.12933968686181077,0.2831594634873324,0.16419177002977453,0.4026731105057684,0.6583844692819052,0.15236686390532544,0.16453295400663823,38.0,309.0,1719.0,43.0,0.1099854964909862,0.734683565880147
1year.arff,2,HistGB_fair,2800,1230,2109,81,triad,0.02012733717155757,0.6942769062017299,3.0410568,0.7866150523338035,0.6296296296296297,0.9827416173570019,0.5930232558139535,0.6107784431137725,0.6000000000000001,0.6219512195121951,0.5950371879218808,0.7167310258547946,0.8061856234933158,0.01725838264299803,0.04077761972498815,51.0,35.0,1993.0,30.0,0.6636389444156626,0.9059037670148781
