dataset,seed,method,cost_ratio,normalized_cost
1year.arff,1,Balanced_logistic,1,0.14556661925082978
1year.arff,1,Balanced_logistic,2,0.15707762557077626
1year.arff,1,Balanced_logistic,5,0.18701191944101933
1year.arff,1,Balanced_logistic,10,0.2255109231853418
1year.arff,1,Balanced_logistic,20,0.2768640350877193
1year.arff,1,Balanced_logistic,50,0.3487989470220467
1year.arff,1,Random_forest,1,0.10004741583688952
1year.arff,1,Random_forest,2,0.108675799086758
1year.arff,1,Random_forest,5,0.13111385121249486
1year.arff,1,Random_forest,10,0.15997181113460182
1year.arff,1,Random_forest,20,0.19846491228070176
1year.arff,1,Random_forest,50,0.25238565317538664
1year.arff,1,Extra_trees,1,0.1896633475580844
1year.arff,1,Extra_trees,2,0.19908675799086759
1year.arff,1,Extra_trees,5,0.22359227291409783
1year.arff,1,Extra_trees,10,0.2551092318534179
1year.arff,1,Extra_trees,20,0.29714912280701755
1year.arff,1,Extra_trees,50,0.3560381704508062
1year.arff,1,HistGB_fair,1,0.02418207681365576
1year.arff,1,HistGB_fair,2,0.03789954337899543
1year.arff,1,HistGB_fair,5,0.07357172215371968
1year.arff,1,HistGB_fair,10,0.11945031712473574
1year.arff,1,HistGB_fair,20,0.1806469298245614
1year.arff,1,HistGB_fair,50,0.2663705166173083
1year.arff,1,Balanced_forest_reference,1,0.13845424371740161
1year.arff,1,Balanced_forest_reference,2,0.14840182648401826
1year.arff,1,Balanced_forest_reference,5,0.17427044800657623
1year.arff,1,Balanced_forest_reference,10,0.20754052149400987
1year.arff,1,Balanced_forest_reference,20,0.2519188596491228
1year.arff,1,Balanced_forest_reference,50,0.3140835801250411
1year.arff,1,EasyEnsemble_reference,1,0.11284969179706021
1year.arff,1,EasyEnsemble_reference,2,0.12557077625570776
1year.arff,1,EasyEnsemble_reference,5,0.1586518701191944
1year.arff,1,EasyEnsemble_reference,10,0.20119802677942214
1year.arff,1,EasyEnsemble_reference,20,0.2579495614035088
1year.arff,1,EasyEnsemble_reference,50,0.3374465284633103
1year.arff,2,Balanced_logistic,1,0.16595542911332384
1year.arff,2,Balanced_logistic,2,0.1780821917808219
1year.arff,2,Balanced_logistic,5,0.2096177558569667
1year.arff,2,Balanced_logistic,10,0.25017618040873857
1year.arff,2,Balanced_logistic,20,0.3042763157894737
