method,cost_ratio,mean,std
Balanced_forest_reference,1,0.1331077007200662,0.031470249927438215
Balanced_forest_reference,2,0.14916275539446802,0.02834106122538118
Balanced_forest_reference,5,0.1891756645733179,0.02455651020705113
Balanced_forest_reference,10,0.2374315785904547,0.02776273034429705
Balanced_forest_reference,20,0.2971752543842385,0.03834741854371499
Balanced_forest_reference,50,0.3738154214996299,0.05560951424504722
Balanced_logistic,1,0.1536768528813479,0.0346256503700207
Balanced_logistic,2,0.17037137124109938,0.031484353944421735
Balanced_logistic,5,0.2119356235324495,0.02684646776116965
Balanced_logistic,10,0.26198066793683866,0.02775369464284696
Balanced_logistic,20,0.32381316605630905,0.03580201239041882
Balanced_logistic,50,0.4029255960303816,0.051153493679836515
EasyEnsemble_reference,1,0.12162753894896335,0.028250544087519033
EasyEnsemble_reference,2,0.1368568455427589,0.02638378218032203
EasyEnsemble_reference,5,0.174854790807447,0.02537024077793373
EasyEnsemble_reference,10,0.22075223942898797,0.030010096511961213
EasyEnsemble_reference,20,0.2776639399004375,0.04030627052030929
EasyEnsemble_reference,50,0.35077590416693494,0.05641099955090541
Extra_trees,1,0.15456483418738898,0.03847979876050413
Extra_trees,2,0.17194986187462477,0.03430038258130651
Extra_trees,5,0.21519435342394172,0.027032323121135297
Extra_trees,10,0.2672077870353427,0.02520561030952717
Extra_trees,20,0.3314284212796182,0.03142583681261332
Extra_trees,50,0.41359640138013526,0.04569993070409653
HistGB_fair,1,0.05780916196141468,0.02542003639414278
HistGB_fair,2,0.07286680211250948,0.023943683399346452
HistGB_fair,5,0.11052386102461999,0.023448667822206417
HistGB_fair,10,0.15618259270058002,0.028236959717807212
HistGB_fair,20,0.21307300897021,0.039181100291648605
HistGB_fair,50,0.2866211121159881,0.058002022860624246
Random_forest,1,0.10875205567628031,0.024447958639658443
Random_forest,2,0.12463306880010946,0.022834496721099853
Random_forest,5,0.16423780794166062,0.023776743178296575
Random_forest,10,0.21204303859635432,0.031524493433355345
Random_forest,20,0.27127691000737747,0.04488712763279529
Random_forest,50,0.34731243543420226,0.06421458160669355
Triad_risk_fusion,1,0.0653355468123385,0.026890679210876324
Triad_risk_fusion,2,0.07893858862377169,0.025234842962166878
Triad_risk_fusion,5,0.1129800647846611,0.024036636409843774
Triad_risk_fusion,10,0.15429882551422225,0.027830121421683736
Triad_risk_fusion,20,0.20585083585138622,0.03774605643124002
Triad_risk_fusion,50,0.2726119880914617,0.05534467288799053
