dataset,seed,method,mcc,sensitivity,specificity,precision,f2,ap,tp,fp,tn,fn
1year.arff,1,Balanced_logistic,0.2213815571048227,0.5432098765432098,0.8668639053254438,0.1401273885350318,0.3448275862068965,0.1801179605083809,44.0,270.0,1758.0,37.0
1year.arff,1,Random_forest,0.3498049933584786,0.6666666666666666,0.9092702169625246,0.226890756302521,0.4804270462633452,0.3852958053378,54.0,184.0,1844.0,27.0
1year.arff,1,Extra_trees,0.182792000066646,0.5555555555555556,0.8205128205128205,0.1100244498777506,0.3069577080491131,0.1727180866283366,45.0,364.0,1664.0,36.0
1year.arff,1,HistGB_fair,0.6479372192069001,0.6049382716049383,0.9906311637080868,0.7205882352941176,0.625,0.6905835565047866,49.0,19.0,2009.0,32.0
1year.arff,1,Balanced_forest_reference,0.2533210562880744,0.5925925925925926,0.8722879684418146,0.1563517915309446,0.3803486529318542,0.2806253723761445,48.0,259.0,1769.0,33.0
1year.arff,1,EasyEnsemble_reference,0.2663475881872745,0.5432098765432098,0.900887573964497,0.1795918367346938,0.3866432337434094,0.2766362614645073,44.0,201.0,1827.0,37.0
1year.arff,2,Balanced_logistic,0.1822942456383479,0.5061728395061729,0.8471400394477318,0.1168091168091168,0.3037037037037037,0.1106319546362196,41.0,310.0,1718.0,40.0
1year.arff,2,Random_forest,0.3300450171684482,0.6296296296296297,0.9097633136094676,0.2179487179487179,0.4569892473118279,0.357754150816826,51.0,183.0,1845.0,30.0
1year.arff,2,Extra_trees,0.1641917700297745,0.4691358024691358,0.8476331360946746,0.1095100864553314,0.2831594634873324,0.1099854964909862,38.0,309.0,1719.0,43.0
1year.arff,2,HistGB_fair,0.5950371879218808,0.6296296296296297,0.982741617357002,0.5930232558139535,0.6219512195121951,0.6636389444156626,51.0,35.0,1993.0,30.0
1year.arff,2,Balanced_forest_reference,0.2322771243597562,0.5185185185185185,0.8865877712031558,0.1544117647058823,0.3523489932885906,0.2483839784735527,42.0,230.0,1798.0,39.0
1year.arff,2,EasyEnsemble_reference,0.2871243458188186,0.5555555555555556,0.9092702169625246,0.1965065502183406,0.406871609403255,0.2068811213194652,45.0,184.0,1844.0,36.0
1year.arff,3,Balanced_logistic,0.2082996765835433,0.5555555555555556,0.8486193293885601,0.1278409090909091,0.3328402366863905,0.1602690278852862,45.0,307.0,1721.0,36.0
1year.arff,3,Random_forest,0.3694254492549065,0.6296296296296297,0.928500986193294,0.2602040816326531,0.4903846153846153,0.4380174490101902,51.0,145.0,1883.0,30.0
1year.arff,3,Extra_trees,0.1800440226464066,0.3703703703703703,0.9107495069033532,0.1421800947867298,0.2803738317757009,0.1839576414154204,30.0,181.0,1847.0,51.0
1year.arff,3,HistGB_fair,0.6205511200856395,0.5061728395061729,0.9945759368836292,0.7884615384615384,0.5452127659574468,0.6332794093530083,41.0,11.0,2017.0,40.0
1year.arff,3,Balanced_forest_reference,0.2669950061187082,0.5061728395061729,0.9142011834319528,0.1906976744186046,0.3803339517625232,0.2706547456949585,41.0,174.0,1854.0,40.0
1year.arff,3,EasyEnsemble_reference,0.3327301443799037,0.5061728395061729,0.9442800788954636,0.2662337662337662,0.4288702928870292,0.3560222685908894,41.0,113.0,1915.0,40.0
1year.arff,4,Balanced_logistic,0.2272900224899373,0.6172839506172839,0.8372781065088757,0.131578947368421,0.3551136363636363,0.2061742049964956,50.0,330.0,1698.0,31.0
1year.arff,4,Random_forest,0.3237402709965113,0.6296296296296297,0.9063116370808678,0.2116182572614107,0.4513274336283186,0.4018531191877268,51.0,190.0,1838.0,30.0
1year.arff,4,Extra_trees,0.2165630813025307,0.5802469135802469,0.8446745562130178,0.1298342541436464,0.3425655976676384,0.161652396564757,47.0,315.0,1713.0,34.0
1year.arff,4,HistGB_fair,0.7209828441794829,0.654320987654321,0.9940828402366864,0.8153846153846154,0.6812339331619537,0.7578524292603351,53.0,12.0,2016.0,28.0
1year.arff,4,Balanced_forest_reference,0.2562634587578724,0.6296296296296297,0.8589743589743589,0.1513353115727003,0.3857791225416036,0.289980267368327,51.0,286.0,1742.0,30.0
1year.arff,4,EasyEnsemble_reference,0.4029804812356179,0.5308641975308642,0.960552268244576,0.3495934959349593,0.4809843400447427,0.3785154843759455,43.0,80.0,1948.0,38.0
1year.arff,5,Balanced_logistic,0.1964668978211787,0.5432098765432098,0.8427021696252466,0.1212121212121212,0.3202328966521106,0.1385962989001157,44.0,319.0,1709.0,37.0
1year.arff,5,Random_forest,0.4102960856076142,0.4938271604938271,0.9684418145956608,0.3846153846153846,0.4672897196261681,0.4659624980073809,40.0,64.0,1964.0,41.0
1year.arff,5,Extra_trees,0.1877292793676718,0.4320987654320987,0.8890532544378699,0.1346153846153846,0.2996575342465753,0.1382241052989207,35.0,225.0,1803.0,46.0
1year.arff,5,HistGB_fair,0.694375084213982,0.6790123456790124,0.990138067061144,0.7333333333333333,0.6892230576441104,0.720220918248586,55.0,20.0,2008.0,26.0
1year.arff,5,Balanced_forest_reference,0.3119750170393794,0.5308641975308642,0.9294871794871796,0.2311827956989247,0.4215686274509804,0.3312958829146913,43.0,143.0,1885.0,38.0
1year.arff,5,EasyEnsemble_reference,0.33538914898746,0.6172839506172839,0.916173570019724,0.2272727272727272,0.4595588235294117,0.3575675145404915,50.0,170.0,1858.0,31.0
1year.arff,6,Balanced_logistic,0.1877916464282415,0.5555555555555556,0.8264299802761341,0.1133501259445843,0.3120665742024965,0.2059107951676169,45.0,352.0,1676.0,36.0
1year.arff,6,Random_forest,0.3948809771426419,0.6049382716049383,0.9437869822485208,0.3006134969325153,0.5030800821355236,0.3664114198356709,49.0,114.0,1914.0,32.0
1year.arff,6,Extra_trees,0.192559275072563,0.4567901234567901,0.8816568047337278,0.1335740072202166,0.3078202995008319,0.1608932092018525,37.0,240.0,1788.0,44.0
1year.arff,6,HistGB_fair,0.5810072948187898,0.7901234567901234,0.9625246548323472,0.4571428571428571,0.6896551724137931,0.7279955599556125,64.0,76.0,1952.0,17.0
1year.arff,6,Balanced_forest_reference,0.2955118633069686,0.5925925925925926,0.9018737672583826,0.194331983805668,0.4203152364273205,0.2609425927177876,48.0,199.0,1829.0,33.0
1year.arff,6,EasyEnsemble_reference,0.3404243132340042,0.6049382716049383,0.9220907297830376,0.2367149758454106,0.4613935969868173,0.2475912071740307,49.0,158.0,1870.0,32.0
1year.arff,7,Balanced_logistic,0.176188971230226,0.419753086419753,0.8851084812623274,0.1273408239700374,0.2876480541455161,0.1377872969320017,34.0,233.0,1795.0,47.0
1year.arff,7,Random_forest,0.3056862906746623,0.6049382716049383,0.903846153846154,0.2008196721311475,0.431338028169014,0.4202346245884651,49.0,195.0,1833.0,32.0
1year.arff,7,Extra_trees,0.1981154679656933,0.4691358024691358,0.8806706114398422,0.1357142857142857,0.314569536423841,0.1937277209906542,38.0,242.0,1786.0,43.0
1year.arff,7,HistGB_fair,0.6606247652405011,0.5925925925925926,0.992603550295858,0.7619047619047619,0.6201550387596899,0.6804796969923271,48.0,15.0,2013.0,33.0
1year.arff,7,Balanced_forest_reference,0.2208256191348535,0.5432098765432098,0.866370808678501,0.1396825396825396,0.3442879499217527,0.3138592094099791,44.0,271.0,1757.0,37.0
1year.arff,7,EasyEnsemble_reference,0.2979725370458785,0.5925925925925926,0.903353057199211,0.1967213114754098,0.4225352112676056,0.3018280928527098,48.0,196.0,1832.0,33.0
1year.arff,8,Balanced_logistic,0.2251770046869138,0.3950617283950617,0.9289940828402368,0.1818181818181818,0.32,0.1641702583245751,32.0,144.0,1884.0,49.0
1year.arff,8,Random_forest,0.3615023807958652,0.6666666666666666,0.9151873767258384,0.2389380530973451,0.4909090909090909,0.3472444578310872,54.0,172.0,1856.0,27.0
1year.arff,8,Extra_trees,0.1604614529708657,0.3209876543209876,0.9186390532544378,0.1361256544502617,0.2524271844660194,0.15447236728888,26.0,165.0,1863.0,55.0
1year.arff,8,HistGB_fair,0.59555561801479,0.6666666666666666,0.9792899408284024,0.5625,0.6428571428571429,0.6947979057111827,54.0,42.0,1986.0,27.0
1year.arff,8,Balanced_forest_reference,0.2557602483656791,0.4814814814814814,0.916173570019724,0.1866028708133971,0.3658536585365853,0.2502710208209893,39.0,170.0,1858.0,42.0
1year.arff,8,EasyEnsemble_reference,0.2916138182953962,0.5308641975308642,0.9196252465483234,0.2087378640776699,0.4056603773584906,0.2407367174616471,43.0,163.0,1865.0,38.0
1year.arff,9,Balanced_logistic,0.1903565179602549,0.4814814814814814,0.8678500986193294,0.1270358306188925,0.3090332805071316,0.1326216661156943,39.0,268.0,1760.0,42.0
1year.arff,9,Random_forest,0.3470064139642631,0.6666666666666666,0.9077909270216964,0.2240663900414937,0.4778761061946903,0.284136904319864,54.0,187.0,1841.0,27.0
1year.arff,9,Extra_trees,0.1530514351027936,0.4444444444444444,0.849112426035503,0.1052631578947368,0.2702702702702703,0.1234986907930874,36.0,306.0,1722.0,45.0
1year.arff,9,HistGB_fair,0.6575889451050304,0.5555555555555556,0.9945759368836292,0.8035714285714286,0.5921052631578949,0.7078596804446917,45.0,11.0,2017.0,36.0
