method,metric,blocks,mean,sd
Balanced_logistic,mcc,50,0.22216683553662628,0.08770159045574341
Balanced_logistic,sensitivity,50,0.4906608358156179,0.07722487451124946
Balanced_logistic,specificity,50,0.8648426726836433,0.03883382627020423
Balanced_logistic,precision,50,0.17332763981027324,0.08952633105075776
Balanced_logistic,f2,50,0.34417947874859023,0.08406997786234911
Balanced_logistic,ap,50,0.2002151413174186,0.10180214914185583
Random_forest,mcc,50,0.31703861484267254,0.0760198842545077
Random_forest,sensitivity,50,0.550029297152441,0.09372881736053551
Random_forest,specificity,50,0.9088467972332168,0.0274738457680496
Random_forest,precision,50,0.24917571322697146,0.08415226073936875
Random_forest,f2,50,0.43213904776882667,0.07731794101918847
Random_forest,ap,50,0.3265804799738995,0.08526313876630283
Extra_trees,mcc,50,0.2163031499349909,0.08939503581346817
Extra_trees,sensitivity,50,0.47574063255739235,0.07173829829692076
Extra_trees,specificity,50,0.8647331338057139,0.04383858627899533
Extra_trees,precision,50,0.17421589557458678,0.09861893617489846
Extra_trees,f2,50,0.33488194311887454,0.0816123403118014
Extra_trees,ap,50,0.1852858671496181,0.10040002276426258
HistGB_fair,mcc,50,0.5138524778796091,0.10872983268522902
HistGB_fair,sensitivity,50,0.613143988614118,0.0905753852954995
HistGB_fair,specificity,50,0.9588493234367642,0.027830202268600914
HistGB_fair,precision,50,0.49895127711096326,0.17831698127461013
HistGB_fair,f2,50,0.5681768865408804,0.07894601524336067
HistGB_fair,ap,50,0.6040835742746142,0.09488071950132833
Balanced_forest_reference,mcc,50,0.2647262043435705,0.08216774803627387
Balanced_forest_reference,sensitivity,50,0.5227370232297256,0.08273135475834258
Balanced_forest_reference,specificity,50,0.8846916757379186,0.035807328617356166
Balanced_forest_reference,precision,50,0.2045125715347768,0.09107880468835935
Balanced_forest_reference,f2,50,0.38472281402108643,0.07957574594885225
Balanced_forest_reference,ap,50,0.25967796926498093,0.08868922517317278
EasyEnsemble_reference,mcc,50,0.2963855541514585,0.0846987465931752
EasyEnsemble_reference,sensitivity,50,0.5504268372215126,0.08161288598103195
EasyEnsemble_reference,specificity,50,0.8952437981116279,0.031206272092330015
EasyEnsemble_reference,precision,50,0.2270502029023561,0.08984145605843333
EasyEnsemble_reference,f2,50,0.41676167780145534,0.08191191235850337
EasyEnsemble_reference,ap,50,0.25792910282403086,0.1150044307780284
Triad_risk_fusion,mcc,50,0.49334212080002865,0.10416562561440591
Triad_risk_fusion,sensitivity,50,0.6362001733867139,0.08591784837178704
Triad_risk_fusion,specificity,50,0.9497079758913348,0.0294276927066783
Triad_risk_fusion,precision,50,0.4496196343957402,0.1688061260829264
Triad_risk_fusion,f2,50,0.5691205157098088,0.07501603271385836
Triad_risk_fusion,ap,50,0.5941811701204575,0.09673346299203377
