dataset,metric,triad,histgb_fair,difference
1year.arff,mcc,0.6023983652107477,0.6428066902831565,-0.04040832507240877
2year.arff,mcc,0.4182886812095809,0.43409385418624036,-0.015805172976659454
3year.arff,mcc,0.3984446195477916,0.40368349108808604,-0.005238871540294454
4year.arff,mcc,0.4508879803106895,0.47662729699356027,-0.025739316682870772
5year.arff,mcc,0.5966909577213327,0.6120510568470017,-0.015360099125668936
1year.arff,sensitivity,0.6456790123456791,0.6320987654320988,0.013580246913580396
2year.arff,sensitivity,0.5725,0.5416666666666665,0.03083333333333349
3year.arff,sensitivity,0.5859060402684564,0.5838926174496645,0.00201342281879191
4year.arff,sensitivity,0.6793548387096775,0.6283870967741935,0.050967741935484034
5year.arff,sensitivity,0.697560975609756,0.6796747967479675,0.01788617886178856
1year.arff,specificity,0.9794871794871796,0.98698224852071,-0.007495069033530477
2year.arff,specificity,0.9490791268758528,0.957673942701228,-0.008594815825375135
3year.arff,specificity,0.9364423717521653,0.9385076615589607,-0.002065289806795434
4year.arff,specificity,0.9279554437657204,0.9471433704635286,-0.019187926697808222
5year.arff,specificity,0.9555757575757575,0.9639393939393939,-0.008363636363636351
1year.arff,precision,0.6120444589934282,0.6929243359239939,-0.08087987693056575
2year.arff,precision,0.36552333438243056,0.421595219221091,-0.056071884838660435
3year.arff,precision,0.32889554997847215,0.33984987616787243,-0.010954326189400287
4year.arff,precision,0.35824930381200865,0.42358401717044647,-0.06533471335843782
5year.arff,precision,0.583385524812361,0.616802937071413,-0.03341741225905204
1year.arff,f2,0.624447307092214,0.6359022666145931,-0.011454959522379182
2year.arff,f2,0.49604892427599323,0.48559595120188775,0.010452973074105476
3year.arff,f2,0.5006027965413793,0.5002699454913672,0.00033285105001212845
4year.arff,f2,0.5680399156804333,0.5624288550175705,0.005611060662862877
5year.arff,f2,0.6564636349590235,0.6566874143789828,-0.0002237794199593246
1year.arff,ap,0.6862749707318777,0.6977131016691611,-0.011438130937283408
2year.arff,ap,0.5016980013045886,0.5157028701621218,-0.01400486885753316
3year.arff,ap,0.4988709781343269,0.5094918454996222,-0.010620867365295328
4year.arff,ap,0.5721404189062291,0.5819125509964482,-0.009772132090219099
5year.arff,ap,0.7119214815252664,0.7155975030457178,-0.0036760215204514335
